"Time (UTCG)","Satellite12305 - x (km)","Satellite12305 - y (km)","Satellite12305 - z (km)","Lat (deg)","Lon (deg)","Alt (km)"
21 Mar 2024 10:50:00.000,2740.484824,6382.855598,159.703209,1.325,66.764,570.011349
21 Mar 2024 10:50:05.000,2731.145688,6387.646734,124.178138,1.030,66.850,570.006861
21 Mar 2024 10:50:10.000,2721.729352,6392.256127,88.649384,0.736,66.936,570.003497
21 Mar 2024 10:50:15.000,2712.235961,6396.683699,53.118000,0.441,67.023,570.001255
21 Mar 2024 10:50:20.000,2702.665661,6400.929375,17.585040,0.146,67.109,570.000138
21 Mar 2024 10:50:25.000,2693.018602,6404.993086,-17.948442,-0.149,67.195,570.000143
21 Mar 2024 10:50:30.000,2683.294935,6408.874769,-53.481391,-0.444,67.282,570.001273
21 Mar 2024 10:50:35.000,2673.494814,6412.574365,-89.012754,-0.739,67.368,570.003525
21 Mar 2024 10:50:40.000,2663.618393,6416.091820,-124.541476,-1.033,67.454,570.006901
21 Mar 2024 10:50:45.000,2653.665831,6419.427088,-160.066504,-1.328,67.541,570.011400
21 Mar 2024 10:50:50.000,2643.637289,6422.580125,-195.586783,-1.623,67.627,570.017021
21 Mar 2024 10:50:55.000,2633.532927,6425.550895,-231.101261,-1.918,67.714,570.023764
21 Mar 2024 10:51:00.000,2623.352912,6428.339364,-266.608882,-2.213,67.800,570.031627
21 Mar 2024 10:51:05.000,2613.097408,6430.945506,-302.108595,-2.507,67.887,570.040610
21 Mar 2024 10:51:10.000,2602.766587,6433.369300,-337.599345,-2.802,67.973,570.050712
21 Mar 2024 10:51:15.000,2592.360618,6435.610729,-373.080081,-3.097,68.060,570.061932
21 Mar 2024 10:51:20.000,2581.879675,6437.669782,-408.549749,-3.392,68.146,570.074267
21 Mar 2024 10:51:25.000,2571.323934,6439.546453,-444.007297,-3.686,68.233,570.087718
21 Mar 2024 10:51:30.000,2560.693572,6441.240742,-479.451675,-3.981,68.320,570.102281
21 Mar 2024 10:51:35.000,2549.988769,6442.752653,-514.881829,-4.276,68.407,570.117956
21 Mar 2024 10:51:40.000,2539.209708,6444.082197,-550.296709,-4.571,68.494,570.134740
21 Mar 2024 10:51:45.000,2528.356573,6445.229388,-585.695264,-4.865,68.581,570.152631
21 Mar 2024 10:51:50.000,2517.429550,6446.194248,-621.076445,-5.160,68.668,570.171628
21 Mar 2024 10:51:55.000,2506.428829,6446.976801,-656.439201,-5.455,68.755,570.191728
21 Mar 2024 10:52:00.000,2495.354600,6447.577079,-691.782485,-5.749,68.842,570.212929
21 Mar 2024 10:52:05.000,2484.207056,6447.995117,-727.105246,-6.044,68.930,570.235227
21 Mar 2024 10:52:10.000,2472.986393,6448.230958,-762.406438,-6.338,69.017,570.258621
21 Mar 2024 10:52:15.000,2461.692809,6448.284648,-797.685013,-6.633,69.105,570.283108
21 Mar 2024 10:52:20.000,2450.326503,6448.156239,-832.939925,-6.927,69.193,570.308684
21 Mar 2024 10:52:25.000,2438.887677,6447.845787,-868.170127,-7.222,69.281,570.335346
21 Mar 2024 10:52:30.000,2427.376536,6447.353356,-903.374575,-7.516,69.369,570.363092
21 Mar 2024 10:52:35.000,2415.793285,6446.679013,-938.552225,-7.811,69.457,570.391918
21 Mar 2024 10:52:40.000,2404.138133,6445.822831,-973.702032,-8.105,69.546,570.421821
21 Mar 2024 10:52:45.000,2392.411290,6444.784887,-1008.822954,-8.399,69.634,570.452797
21 Mar 2024 10:52:50.000,2380.612971,6443.565265,-1043.913950,-8.694,69.723,570.484841
21 Mar 2024 10:52:55.000,2368.743389,6442.164053,-1078.973978,-8.988,69.812,570.517952
21 Mar 2024 10:53:00.000,2356.802762,6440.581345,-1114.001998,-9.282,69.901,570.552123
21 Mar 2024 10:53:05.000,2344.791309,6438.817240,-1148.996971,-9.576,69.990,570.587352
21 Mar 2024 10:53:10.000,2332.709251,6436.871842,-1183.957859,-9.871,70.080,570.623634
21 Mar 2024 10:53:15.000,2320.556814,6434.745260,-1218.883624,-10.165,70.169,570.660965
21 Mar 2024 10:53:20.000,2308.334221,6432.437608,-1253.773232,-10.459,70.259,570.699340
21 Mar 2024 10:53:25.000,2296.041702,6429.949006,-1288.625646,-10.753,70.349,570.738755
21 Mar 2024 10:53:30.000,2283.679486,6427.279579,-1323.439833,-11.047,70.439,570.779205
21 Mar 2024 10:53:35.000,2271.247805,6424.429456,-1358.214761,-11.341,70.530,570.820685
21 Mar 2024 10:53:40.000,2258.746896,6421.398774,-1392.949396,-11.634,70.621,570.863190
21 Mar 2024 10:53:45.000,2246.176992,6418.187671,-1427.642710,-11.928,70.711,570.906715
21 Mar 2024 10:53:50.000,2233.538335,6414.796294,-1462.293673,-12.222,70.803,570.951255
21 Mar 2024 10:53:55.000,2220.831164,6411.224793,-1496.901257,-12.516,70.894,570.996804
21 Mar 2024 10:54:00.000,2208.055722,6407.473323,-1531.464435,-12.809,70.986,571.043357
21 Mar 2024 10:54:05.000,2195.212255,6403.542046,-1565.982182,-13.103,71.078,571.090909
21 Mar 2024 10:54:10.000,2182.301010,6399.431127,-1600.453474,-13.397,71.170,571.139453
21 Mar 2024 10:54:15.000,2169.322237,6395.140738,-1634.877288,-13.690,71.262,571.188985
21 Mar 2024 10:54:20.000,2156.276186,6390.671054,-1669.252604,-13.984,71.355,571.239497
21 Mar 2024 10:54:25.000,2143.163112,6386.022258,-1703.578402,-14.277,71.448,571.290984
21 Mar 2024 10:54:30.000,2129.983270,6381.194535,-1737.853662,-14.570,71.541,571.343440
21 Mar 2024 10:54:35.000,2116.736918,6376.188076,-1772.077369,-14.863,71.635,571.396858
21 Mar 2024 10:54:40.000,2103.424317,6371.003080,-1806.248508,-15.157,71.729,571.451233
21 Mar 2024 10:54:45.000,2090.045728,6365.639746,-1840.366064,-15.450,71.823,571.506556
21 Mar 2024 10:54:50.000,2076.601415,6360.098283,-1874.429025,-15.743,71.918,571.562823
21 Mar 2024 10:54:55.000,2063.091645,6354.378901,-1908.436381,-16.036,72.013,571.620026
21 Mar 2024 10:55:00.000,2049.516686,6348.481817,-1942.387124,-16.329,72.108,571.678158
21 Mar 2024 10:55:05.000,2035.876809,6342.407255,-1976.280245,-16.621,72.204,571.737213
21 Mar 2024 10:55:10.000,2022.172286,6336.155439,-2010.114740,-16.914,72.300,571.797182
21 Mar 2024 10:55:15.000,2008.403391,6329.726603,-2043.889605,-17.207,72.396,571.858060
21 Mar 2024 10:55:20.000,1994.570402,6323.120984,-2077.603837,-17.500,72.493,571.919839
21 Mar 2024 10:55:25.000,1980.673597,6316.338823,-2111.256438,-17.792,72.590,571.982511
21 Mar 2024 10:55:30.000,1966.713257,6309.380367,-2144.846408,-18.084,72.687,572.046068
21 Mar 2024 10:55:35.000,1952.689665,6302.245870,-2178.372751,-18.377,72.785,572.110504
21 Mar 2024 10:55:40.000,1938.603106,6294.935586,-2211.834472,-18.669,72.883,572.175811
21 Mar 2024 10:55:45.000,1924.453867,6287.449780,-2245.230579,-18.961,72.982,572.241980
21 Mar 2024 10:55:50.000,1910.242236,6279.788717,-2278.560081,-19.253,73.081,572.309004
21 Mar 2024 10:55:55.000,1895.968506,6271.952669,-2311.821990,-19.545,73.180,572.376875
21 Mar 2024 10:56:00.000,1881.632968,6263.941914,-2345.015318,-19.837,73.280,572.445584
21 Mar 2024 10:56:05.000,1867.235918,6255.756733,-2378.139082,-20.129,73.381,572.515124
21 Mar 2024 10:56:10.000,1852.777654,6247.397413,-2411.192298,-20.421,73.481,572.585486
21 Mar 2024 10:56:15.000,1838.258475,6238.864246,-2444.173985,-20.712,73.583,572.656662
21 Mar 2024 10:56:20.000,1823.678681,6230.157528,-2477.083166,-21.004,73.684,572.728642
21 Mar 2024 10:56:25.000,1809.038576,6221.277562,-2509.918864,-21.295,73.786,572.801419
