"Time (UTCG)","Satellite12218 - x (km)","Satellite12218 - y (km)","Satellite12218 - z (km)","Lat (deg)","Lon (deg)","Alt (km)"
21 Mar 2024 10:50:00.000,-723.637662,-4608.250096,5149.464764,48.003,-98.924,581.769697
21 Mar 2024 10:50:05.000,-702.431980,-4587.130263,5171.211951,48.271,-98.706,581.869070
21 Mar 2024 10:50:10.000,-681.190000,-4565.890556,5192.805733,48.538,-98.485,581.968154
21 Mar 2024 10:50:15.000,-659.912265,-4544.531631,5214.245471,48.804,-98.262,582.066934
21 Mar 2024 10:50:20.000,-638.599313,-4523.054143,5235.530528,49.070,-98.036,582.165401
21 Mar 2024 10:50:25.000,-617.251688,-4501.458752,5256.660274,49.336,-97.808,582.263542
21 Mar 2024 10:50:30.000,-595.869934,-4479.746121,5277.634080,49.601,-97.577,582.361345
21 Mar 2024 10:50:35.000,-574.454596,-4457.916917,5298.451326,49.865,-97.343,582.458800
21 Mar 2024 10:50:40.000,-553.006222,-4435.971808,5319.111393,50.129,-97.106,582.555894
21 Mar 2024 10:50:45.000,-531.525359,-4413.911467,5339.613668,50.392,-96.867,582.652616
21 Mar 2024 10:50:50.000,-510.012559,-4391.736568,5359.957544,50.655,-96.624,582.748955
21 Mar 2024 10:50:55.000,-488.468371,-4369.447790,5380.142417,50.917,-96.379,582.844899
21 Mar 2024 10:51:00.000,-466.893350,-4347.045814,5400.167688,51.178,-96.130,582.940437
21 Mar 2024 10:51:05.000,-445.288049,-4324.531323,5420.032763,51.439,-95.879,583.035558
21 Mar 2024 10:51:10.000,-423.653024,-4301.905005,5439.737053,51.699,-95.624,583.130250
21 Mar 2024 10:51:15.000,-401.988833,-4279.167550,5459.279974,51.958,-95.367,583.224502
21 Mar 2024 10:51:20.000,-380.296032,-4256.319649,5478.660944,52.217,-95.106,583.318303
21 Mar 2024 10:51:25.000,-358.575183,-4233.361999,5497.879390,52.475,-94.842,583.411642
21 Mar 2024 10:51:30.000,-336.826846,-4210.295298,5516.934742,52.732,-94.574,583.504508
21 Mar 2024 10:51:35.000,-315.051583,-4187.120247,5535.826434,52.989,-94.303,583.596891
21 Mar 2024 10:51:40.000,-293.249959,-4163.837550,5554.553905,53.245,-94.029,583.688778
21 Mar 2024 10:51:45.000,-271.422538,-4140.447914,5573.116601,53.500,-93.751,583.780160
21 Mar 2024 10:51:50.000,-249.569887,-4116.952048,5591.513970,53.754,-93.469,583.871025
21 Mar 2024 10:51:55.000,-227.692573,-4093.350663,5609.745467,54.008,-93.184,583.961362
21 Mar 2024 10:52:00.000,-205.791165,-4069.644476,5627.810551,54.261,-92.895,584.051162
21 Mar 2024 10:52:05.000,-183.866233,-4045.834204,5645.708686,54.513,-92.602,584.140414
21 Mar 2024 10:52:10.000,-161.918348,-4021.920566,5663.439342,54.764,-92.305,584.229106
21 Mar 2024 10:52:15.000,-139.948084,-3997.904287,5681.001991,55.014,-92.005,584.317229
21 Mar 2024 10:52:20.000,-117.956012,-3973.786090,5698.396113,55.263,-91.700,584.404772
21 Mar 2024 10:52:25.000,-95.942709,-3949.566704,5715.621193,55.512,-91.392,584.491725
21 Mar 2024 10:52:30.000,-73.908751,-3925.246860,5732.676718,55.759,-91.079,584.578077
21 Mar 2024 10:52:35.000,-51.854714,-3900.827290,5749.562184,56.006,-90.762,584.663819
21 Mar 2024 10:52:40.000,-29.781177,-3876.308731,5766.277089,56.252,-90.440,584.748940
21 Mar 2024 10:52:45.000,-7.688719,-3851.691921,5782.820938,56.496,-90.114,584.833430
21 Mar 2024 10:52:50.000,14.422079,-3826.977600,5799.193239,56.740,-89.784,584.917279
21 Mar 2024 10:52:55.000,36.550635,-3802.166511,5815.393507,56.983,-89.449,585.000478
21 Mar 2024 10:53:00.000,58.696368,-3777.259400,5831.421262,57.225,-89.110,585.083017
21 Mar 2024 10:53:05.000,80.858693,-3752.257015,5847.276027,57.465,-88.766,585.164885
21 Mar 2024 10:53:10.000,103.037025,-3727.160105,5862.957333,57.705,-88.416,585.246073
21 Mar 2024 10:53:15.000,125.230779,-3701.969425,5878.464715,57.943,-88.063,585.326572
21 Mar 2024 10:53:20.000,147.439367,-3676.685727,5893.797712,58.181,-87.704,585.406372
21 Mar 2024 10:53:25.000,169.662203,-3651.309771,5908.955869,58.417,-87.340,585.485464
21 Mar 2024 10:53:30.000,191.898697,-3625.842315,5923.938737,58.652,-86.970,585.563839
21 Mar 2024 10:53:35.000,214.148260,-3600.284122,5938.745872,58.886,-86.596,585.641486
21 Mar 2024 10:53:40.000,236.410301,-3574.635956,5953.376834,59.118,-86.216,585.718398
21 Mar 2024 10:53:45.000,258.684227,-3548.898582,5967.831189,59.349,-85.831,585.794565
21 Mar 2024 10:53:50.000,280.969448,-3523.072769,5982.108508,59.579,-85.440,585.869978
21 Mar 2024 10:53:55.000,303.265369,-3497.159289,5996.208368,59.808,-85.044,585.944628
21 Mar 2024 10:54:00.000,325.571396,-3471.158914,6010.130351,60.035,-84.642,586.018506
21 Mar 2024 10:54:05.000,347.886933,-3445.072418,6023.874043,60.261,-84.234,586.091604
21 Mar 2024 10:54:10.000,370.211386,-3418.900580,6037.439037,60.486,-83.820,586.163913
21 Mar 2024 10:54:15.000,392.544156,-3392.644178,6050.824930,60.709,-83.400,586.235425
21 Mar 2024 10:54:20.000,414.884647,-3366.303994,6064.031326,60.930,-82.974,586.306131
21 Mar 2024 10:54:25.000,437.232260,-3339.880810,6077.057832,61.151,-82.542,586.376023
21 Mar 2024 10:54:30.000,459.586395,-3313.375413,6089.904062,61.369,-82.103,586.445092
21 Mar 2024 10:54:35.000,481.946452,-3286.788589,6102.569636,61.586,-81.658,586.513331
21 Mar 2024 10:54:40.000,504.311831,-3260.121127,6115.054177,61.801,-81.207,586.580731
21 Mar 2024 10:54:45.000,526.681931,-3233.373820,6127.357314,62.015,-80.748,586.647285
21 Mar 2024 10:54:50.000,549.056148,-3206.547459,6139.478684,62.227,-80.283,586.712985
21 Mar 2024 10:54:55.000,571.433880,-3179.642840,6151.417926,62.437,-79.812,586.777822
21 Mar 2024 10:55:00.000,593.814524,-3152.660760,6163.174686,62.646,-79.333,586.841791
21 Mar 2024 10:55:05.000,616.197474,-3125.602018,6174.748616,62.853,-78.847,586.904881
21 Mar 2024 10:55:10.000,638.582127,-3098.467413,6186.139372,63.057,-78.355,586.967088
21 Mar 2024 10:55:15.000,660.967876,-3071.257749,6197.346616,63.260,-77.855,587.028402
21 Mar 2024 10:55:20.000,683.354115,-3043.973829,6208.370016,63.461,-77.347,587.088818
21 Mar 2024 10:55:25.000,705.740238,-3016.616459,6219.209245,63.660,-76.832,587.148327
21 Mar 2024 10:55:30.000,728.125636,-2989.186447,6229.863980,63.857,-76.310,587.206923
21 Mar 2024 10:55:35.000,750.509703,-2961.684602,6240.333907,64.052,-75.780,587.264599
21 Mar 2024 10:55:40.000,772.891829,-2934.111735,6250.618715,64.245,-75.243,587.321348
21 Mar 2024 10:55:45.000,795.271405,-2906.468659,6260.718098,64.436,-74.697,587.377164
21 Mar 2024 10:55:50.000,817.647822,-2878.756187,6270.631757,64.624,-74.144,587.432039
21 Mar 2024 10:55:55.000,840.020469,-2850.975136,6280.359397,64.810,-73.583,587.485968
21 Mar 2024 10:56:00.000,862.388737,-2823.126323,6289.900731,64.994,-73.014,587.538945
21 Mar 2024 10:56:05.000,884.752013,-2795.210567,6299.255475,65.176,-72.436,587.590962
21 Mar 2024 10:56:10.000,907.109687,-2767.228688,6308.423351,65.355,-71.851,587.642014
21 Mar 2024 10:56:15.000,929.461145,-2739.181508,6317.404088,65.531,-71.257,587.692095
21 Mar 2024 10:56:20.000,951.805777,-2711.069852,6326.197420,65.705,-70.655,587.741198
21 Mar 2024 10:56:25.000,974.142970,-2682.894542,6334.803084,65.877,-70.044,587.789319
21 Mar 2024 10:56:30.000,996.472109,-2654.656407,6343.220827,66.046,-69.425,587.836452
21 Mar 2024 10:56:35.000,1018.792581,-2626.356274,6351.450399,66.212,-68.798,587.882591
21 Mar 2024 10:56:40.000,1041.103774,-2597.994972,6359.491554,66.375,-68.162,587.927730
21 Mar 2024 10:56:45.000,1063.405071,-2569.573331,6367.344056,66.536,-67.518,587.971864
21 Mar 2024 10:56:50.000,1085.695859,-2541.092183,6375.007670,66.694,-66.865,588.014988
21 Mar 2024 10:56:55.000,1107.975524,-2512.552361,6382.482169,66.848,-66.204,588.057098
21 Mar 2024 10:57:00.000,1130.243449,-2483.954700,6389.767333,67.000,-65.534,588.098188
21 Mar 2024 10:57:05.000,1152.499019,-2455.300036,6396.862943,67.149,-64.855,588.138253
21 Mar 2024 10:57:10.000,1174.741619,-2426.589204,6403.768791,67.295,-64.168,588.177288
21 Mar 2024 10:57:15.000,1196.970633,-2397.823044,6410.484672,67.437,-63.472,588.215289
21 Mar 2024 10:57:20.000,1219.185444,-2369.002395,6417.010385,67.576,-62.768,588.252252
21 Mar 2024 10:57:25.000,1241.385437,-2340.128096,6423.345737,67.713,-62.055,588.288173
21 Mar 2024 10:57:30.000,1263.569995,-2311.200990,6429.490542,67.845,-61.334,588.323046
21 Mar 2024 10:57:35.000,1285.738501,-2282.221919,6435.444615,67.975,-60.604,588.356868
21 Mar 2024 10:57:40.000,1307.890338,-2253.191727,6441.207781,68.100,-59.866,588.389635
21 Mar 2024 10:57:45.000,1330.024890,-2224.111258,6446.779868,68.223,-59.120,588.421343
21 Mar 2024 10:57:50.000,1352.141540,-2194.981359,6452.160712,68.341,-58.366,588.451988
21 Mar 2024 10:57:55.000,1374.239670,-2165.802877,6457.350153,68.457,-57.604,588.481567
21 Mar 2024 10:58:00.000,1396.318663,-2136.576659,6462.348036,68.568,-56.834,588.510077
21 Mar 2024 10:58:05.000,1418.377903,-2107.303554,6467.154214,68.676,-56.056,588.537513
21 Mar 2024 10:58:10.000,1440.416771,-2077.984411,6471.768544,68.779,-55.271,588.563873
21 Mar 2024 10:58:15.000,1462.434650,-2048.620082,6476.190889,68.879,-54.478,588.589154
21 Mar 2024 10:58:20.000,1484.430923,-2019.211417,6480.421117,68.976,-53.678,588.613352
21 Mar 2024 10:58:25.000,1506.404973,-1989.759270,6484.459104,69.068,-52.871,588.636465
21 Mar 2024 10:58:30.000,1528.356183,-1960.264493,6488.304730,69.156,-52.058,588.658491
21 Mar 2024 10:58:35.000,1550.283934,-1930.727940,6491.957880,69.240,-51.237,588.679425
21 Mar 2024 10:58:40.000,1572.187611,-1901.150467,6495.418446,69.319,-50.410,588.699267
21 Mar 2024 10:58:45.000,1594.066596,-1871.532928,6498.686326,69.395,-49.578,588.718014
21 Mar 2024 10:58:50.000,1615.920272,-1841.876180,6501.761422,69.467,-48.739,588.735663
21 Mar 2024 10:58:55.000,1637.748022,-1812.181079,6504.643643,69.534,-47.894,588.752213
21 Mar 2024 10:59:00.000,1659.549229,-1782.448484,6507.332904,69.597,-47.045,588.767661
21 Mar 2024 10:59:05.000,1681.323277,-1752.679253,6509.829126,69.655,-46.190,588.782006
21 Mar 2024 10:59:10.000,1703.069549,-1722.874245,6512.132233,69.709,-45.331,588.795246
21 Mar 2024 10:59:15.000,1724.787430,-1693.034319,6514.242158,69.759,-44.468,588.807379
21 Mar 2024 10:59:20.000,1746.476303,-1663.160335,6516.158838,69.804,-43.600,588.818405
21 Mar 2024 10:59:25.000,1768.135552,-1633.253153,6517.882216,69.845,-42.729,588.828321
21 Mar 2024 10:59:30.000,1789.764562,-1603.313637,6519.412241,69.881,-41.855,588.837127
21 Mar 2024 10:59:35.000,1811.362718,-1573.342645,6520.748868,69.913,-40.977,588.844822
21 Mar 2024 10:59:40.000,1832.929404,-1543.341042,6521.892056,69.940,-40.098,588.851404
21 Mar 2024 10:59:45.000,1854.464007,-1513.309690,6522.841773,69.963,-39.216,588.856873
21 Mar 2024 10:59:50.000,1875.965910,-1483.249451,6523.597990,69.981,-38.332,588.861228
21 Mar 2024 10:59:55.000,1897.434502,-1453.161189,6524.160685,69.994,-37.447,588.864469
21 Mar 2024 11:00:00.000,1918.869166,-1423.045768,6524.529840,70.003,-36.561,588.866596
21 Mar 2024 11:00:05.000,1940.269292,-1392.904052,6524.705445,70.007,-35.674,588.867607
21 Mar 2024 11:00:10.000,1961.634264,-1362.736906,6524.687495,70.007,-34.788,588.867504
