"Time (UTCG)","Satellite10820 - Satellite11501 - x (km)","Satellite10820 - Satellite11501 - y (km)","Satellite10820 - Satellite11501 - z (km)","Lat (deg)","Lon (deg)","Alt (km)"
21 Mar 2024 13:30:00.000,4879.837909,5211.893635,-2539.981714,-19.685,46.885,1202.410846
21 Mar 2024 13:30:05.000,4888.566775,5220.216999,-2505.875049,-19.411,46.879,1202.346564
21 Mar 2024 13:30:10.000,4897.190639,5228.415468,-2471.711135,-19.136,46.874,1202.283043
21 Mar 2024 13:30:15.000,4905.709213,5236.488932,-2437.490754,-18.861,46.868,1202.220290
21 Mar 2024 13:30:20.000,4914.122213,5244.437284,-2403.214688,-18.587,46.862,1202.158310
21 Mar 2024 13:30:25.000,4922.429357,5252.260423,-2368.883718,-18.312,46.857,1202.097110
21 Mar 2024 13:30:30.000,4930.630364,5259.958246,-2334.498630,-18.037,46.851,1202.036694
21 Mar 2024 13:30:35.000,4938.724956,5267.530658,-2300.060210,-17.763,46.845,1201.977069
21 Mar 2024 13:30:40.000,4946.712858,5274.977563,-2265.569243,-17.488,46.839,1201.918239
21 Mar 2024 13:30:45.000,4954.593798,5282.298871,-2231.026519,-17.213,46.834,1201.860211
21 Mar 2024 13:30:50.000,4962.367504,5289.494493,-2196.432825,-16.938,46.828,1201.802990
21 Mar 2024 13:30:55.000,4970.033708,5296.564344,-2161.788953,-16.663,46.822,1201.746580
21 Mar 2024 13:31:00.000,4977.592145,5303.508343,-2127.095694,-16.389,46.816,1201.690988
21 Mar 2024 13:31:05.000,4985.042549,5310.326410,-2092.353840,-16.114,46.810,1201.636218
21 Mar 2024 13:31:10.000,4992.384662,5317.018469,-2057.564185,-15.839,46.804,1201.582275
21 Mar 2024 13:31:15.000,4999.618223,5323.584448,-2022.727524,-15.564,46.797,1201.529165
21 Mar 2024 13:31:20.000,5006.742977,5330.024277,-1987.844653,-15.289,46.791,1201.476892
21 Mar 2024 13:31:25.000,5013.758669,5336.337888,-1952.916369,-15.015,46.785,1201.425461
21 Mar 2024 13:31:30.000,5020.665048,5342.525219,-1917.943469,-14.740,46.779,1201.374876
21 Mar 2024 13:31:35.000,5027.461865,5348.586208,-1882.926753,-14.465,46.773,1201.325144
21 Mar 2024 13:31:40.000,5034.148874,5354.520799,-1847.867020,-14.190,46.766,1201.276267
21 Mar 2024 13:31:45.000,5040.725830,5360.328935,-1812.765072,-13.915,46.760,1201.228251
21 Mar 2024 13:31:50.000,5047.192491,5366.010567,-1777.621710,-13.640,46.754,1201.181099
21 Mar 2024 13:31:55.000,5053.548619,5371.565645,-1742.437738,-13.366,46.747,1201.134817
21 Mar 2024 13:32:00.000,5059.793976,5376.994124,-1707.213959,-13.091,46.741,1201.089409
21 Mar 2024 13:32:05.000,5065.928329,5382.295961,-1671.951178,-12.816,46.734,1201.044879
21 Mar 2024 13:32:10.000,5071.951446,5387.471118,-1636.650200,-12.541,46.728,1201.001230
21 Mar 2024 13:32:15.000,5077.863097,5392.519557,-1601.311832,-12.266,46.721,1200.958468
21 Mar 2024 13:32:20.000,5083.663055,5397.441247,-1565.936881,-11.991,46.715,1200.916595
21 Mar 2024 13:32:25.000,5089.351097,5402.236156,-1530.526156,-11.716,46.708,1200.875616
21 Mar 2024 13:32:30.000,5094.927001,5406.904257,-1495.080465,-11.441,46.702,1200.835535
21 Mar 2024 13:32:35.000,5100.390547,5411.445527,-1459.600618,-11.166,46.695,1200.796355
21 Mar 2024 13:32:40.000,5105.741519,5415.859944,-1424.087426,-10.891,46.688,1200.758080
21 Mar 2024 13:32:45.000,5110.979703,5420.147490,-1388.541700,-10.616,46.682,1200.720714
21 Mar 2024 13:32:50.000,5116.104887,5424.308151,-1352.964252,-10.341,46.675,1200.684259
21 Mar 2024 13:32:55.000,5121.116862,5428.341913,-1317.355894,-10.067,46.668,1200.648720
21 Mar 2024 13:33:00.000,5126.015421,5432.248769,-1281.717441,-9.792,46.661,1200.614099
21 Mar 2024 13:33:05.000,5130.800362,5436.028713,-1246.049707,-9.517,46.655,1200.580399
21 Mar 2024 13:33:10.000,5135.471482,5439.681741,-1210.353506,-9.242,46.648,1200.547625
21 Mar 2024 13:33:15.000,5140.028583,5443.207853,-1174.629654,-8.967,46.641,1200.515779
21 Mar 2024 13:33:20.000,5144.471468,5446.607054,-1138.878967,-8.692,46.634,1200.484863
21 Mar 2024 13:33:25.000,5148.799945,5449.879349,-1103.102261,-8.417,46.627,1200.454881
21 Mar 2024 13:33:30.000,5153.013822,5453.024747,-1067.300355,-8.142,46.620,1200.425836
21 Mar 2024 13:33:35.000,5157.112911,5456.043261,-1031.474066,-7.867,46.613,1200.397729
21 Mar 2024 13:33:40.000,5161.097026,5458.934906,-995.624212,-7.592,46.606,1200.370565
21 Mar 2024 13:33:45.000,5164.965985,5461.699700,-959.751612,-7.317,46.599,1200.344344
21 Mar 2024 13:33:50.000,5168.719606,5464.337664,-923.857087,-7.042,46.593,1200.319071
