time,x,y,z,lat,lon,alt
0.0,947.69735,258.43895,-7514.20252,-82.594,15.254,1221.026771
5.0,976.02808,280.34621,-7509.78932,-82.342,16.026,1221.002175
10.0,1004.35262,302.22643,-7505.20455,-82.089,16.747,1220.976638
15.0,1032.67031,324.07912,-7500.44833,-81.834,17.423,1220.950163
20.0,1060.98049,345.90378,-7495.52075,-81.579,18.057,1220.922751
25.0,1089.28248,367.69993,-7490.42194,-81.322,18.653,1220.894405
30.0,1117.57562,389.46708,-7485.15200,-81.065,19.213,1220.865128
35.0,1145.85926,411.20475,-7479.71106,-80.807,19.741,1220.834922
40.0,1174.13273,432.91243,-7474.09925,-80.548,20.239,1220.803790
45.0,1202.39536,454.58965,-7468.31668,-80.288,20.710,1220.771735
50.0,1230.64648,476.23593,-7462.36350,-80.027,21.155,1220.738760
55.0,1258.88544,497.85078,-7456.23983,-79.766,21.577,1220.704867
60.0,1287.11158,519.43372,-7449.94582,-79.504,21.977,1220.670060
65.0,1315.32421,540.98427,-7443.48162,-79.242,22.357,1220.634342
70.0,1343.52269,562.50194,-7436.84737,-78.980,22.718,1220.597716
75.0,1371.70634,583.98627,-7430.04321,-78.716,23.061,1220.560186
80.0,1399.87451,605.43677,-7423.06932,-78.453,23.388,1220.521754
85.0,1428.02652,626.85298,-7415.92583,-78.189,23.700,1220.482425
90.0,1456.16172,648.23440,-7408.61293,-77.924,23.997,1220.442202
95.0,1484.27943,669.58058,-7401.13078,-77.660,24.281,1220.401088
100.0,1512.37899,690.89103,-7393.47954,-77.395,24.552,1220.359087
105.0,1540.45975,712.16530,-7385.65940,-77.129,24.811,1220.316204
110.0,1568.52103,733.40291,-7377.67052,-76.864,25.060,1220.272441
115.0,1596.56217,754.60338,-7369.51310,-76.598,25.297,1220.227803
120.0,1624.58250,775.76627,-7361.18732,-76.331,25.525,1220.182294
125.0,1652.58137,796.89109,-7352.69337,-76.065,25.744,1220.135918
130.0,1680.55810,817.97739,-7344.03144,-75.798,25.954,1220.088679
135.0,1708.51204,839.02470,-7335.20174,-75.532,26.155,1220.040582
140.0,1736.44252,860.03256,-7326.20446,-75.264,26.348,1219.991630
145.0,1764.34888,881.00052,-7317.03980,-74.997,26.535,1219.941829
150.0,1792.23045,901.92811,-7307.70799,-74.730,26.714,1219.891183
155.0,1820.08657,922.81488,-7298.20923,-74.462,26.886,1219.839695
160.0,1847.91659,943.66037,-7288.54374,-74.194,27.052,1219.787372
165.0,1875.71982,964.46413,-7278.71173,-73.926,27.211,1219.734218
170.0,1903.49563,985.22570,-7268.71344,-73.658,27.366,1219.680237
175.0,1931.24333,1005.94464,-7258.54910,-73.390,27.514,1219.625434
180.0,1958.96228,1026.62049,-7248.21892,-73.121,27.657,1219.569815
185.0,1986.65181,1047.25281,-7237.72316,-72.853,27.796,1219.513384
190.0,2014.31125,1067.84114,-7227.06205,-72.584,27.929,1219.456147
195.0,2041.93996,1088.38505,-7216.23583,-72.315,28.058,1219.398108
200.0,2069.53726,1108.88408,-7205.24476,-72.046,28.183,1219.339274
205.0,2097.10250,1129.33781,-7194.08907,-71.777,28.303,1219.279648
210.0,2124.63503,1149.74578,-7182.76904,-71.508,28.420,1219.219238
215.0,2152.13417,1170.10755,-7171.28491,-71.239,28.533,1219.158047
220.0,2179.59927,1190.42270,-7159.63695,-70.969,28.642,1219.096082
225.0,2207.02968,1210.69077,-7147.82542,-70.700,28.747,1219.033349
230.0,2234.42474,1230.91135,-7135.85060,-70.430,28.850,1218.969852
235.0,2261.78378,1251.08399,-7123.71275,-70.161,28.949,1218.905598
240.0,2289.10616,1271.20826,-7111.41216,-69.891,29.045,1218.840592
245.0,2316.39122,1291.28373,-7098.94911,-69.621,29.138,1218.774841
250.0,2343.63830,1311.30998,-7086.32388,-69.351,29.228,1218.708351
255.0,2370.84674,1331.28657,-7073.53675,-69.081,29.315,1218.641126
260.0,2398.01590,1351.21309,-7060.58803,-68.811,29.400,1218.573175
265.0,2425.14511,1371.08910,-7047.47801,-68.541,29.482,1218.504501
270.0,2452.23374,1390.91419,-7034.20698,-68.271,29.562,1218.435113
275.0,2479.28111,1410.68794,-7020.77525,-68.001,29.639,1218.365016
280.0,2506.28658,1430.40992,-7007.18313,-67.730,29.715,1218.294216
285.0,2533.24951,1450.07973,-6993.43092,-67.460,29.788,1218.222720
290.0,2560.16923,1469.69693,-6979.51895,-67.189,29.859,1218.150535
295.0,2587.04511,1489.26113,-6965.44753,-66.919,29.927,1218.077666
300.0,2613.87648,1508.77191,-6951.21698,-66.648,29.994,1218.004121
305.0,2640.66270,1528.22885,-6936.82762,-66.378,30.059,1217.929906
310.0,2667.40313,1547.63156,-6922.27979,-66.107,30.122,1217.855029
315.0,2694.09711,1566.97961,-6907.57382,-65.836,30.184,1217.779494
320.0,2720.74401,1586.27261,-6892.71003,-65.565,30.243,1217.703311
325.0,2747.34317,1605.51016,-6877.68879,-65.295,30.301,1217.626485
330.0,2773.89395,1624.69185,-6862.51041,-65.024,30.358,1217.549023
335.0,2800.39570,1643.81728,-6847.17526,-64.753,30.413,1217.470933
340.0,2826.84779,1662.88605,-6831.68368,-64.482,30.466,1217.392221
345.0,2853.24957,1681.89777,-6816.03603,-64.211,30.518,1217.312895
350.0,2879.60039,1700.85204,-6800.23267,-63.939,30.568,1217.232961
355.0,2905.89963,1719.74847,-6784.27394,-63.668,30.618,1217.152428
360.0,2932.14663,1738.58666,-6768.16023,-63.397,30.665,1217.071303
365.0,2958.34077,1757.36624,-6751.89190,-63.126,30.712,1216.989592
370.0,2984.48139,1776.08680,-6735.46931,-62.855,30.757,1216.907303
375.0,3010.56788,1794.74797,-6718.89285,-62.583,30.801,1216.824444
380.0,3036.59958,1813.34936,-6702.16290,-62.312,30.844,1216.741022
385.0,3062.57586,1831.89059,-6685.27983,-62.040,30.886,1216.657045
390.0,3088.49610,1850.37127,-6668.24403,-61.769,30.927,1216.572520
395.0,3114.35965,1868.79103,-6651.05589,-61.498,30.966,1216.487456
400.0,3140.16589,1887.14949,-6633.71580,-61.226,31.005,1216.401859
405.0,3165.91418,1905.44628,-6616.22417,-60.954,31.042,1216.315737
410.0,3191.60390,1923.68103,-6598.58138,-60.683,31.079,1216.229100
415.0,3217.23441,1941.85335,-6580.78785,-60.411,31.114,1216.141953
420.0,3242.80509,1959.96289,-6562.84397,-60.140,31.149,1216.054305
425.0,3268.31532,1978.00928,-6544.75016,-59.868,31.183,1215.966165
430.0,3293.76445,1995.99215,-6526.50684,-59.596,31.215,1215.877539
435.0,3319.15188,2013.91113,-6508.11441,-59.324,31.247,1215.788437
440.0,3344.47698,2031.76587,-6489.57330,-59.052,31.279,1215.698866
445.0,3369.73911,2049.55600,-6470.88393,-58.781,31.309,1215.608835
450.0,3394.93768,2067.28118,-6452.04674,-58.509,31.339,1215.518351
455.0,3420.07205,2084.94103,-6433.06214,-58.237,31.367,1215.427423
460.0,3445.14160,2102.53521,-6413.93058,-57.965,31.395,1215.336058
465.0,3470.14572,2120.06337,-6394.65248,-57.693,31.423,1215.244267
470.0,3495.08380,2137.52515,-6375.22830,-57.421,31.449,1215.152056
475.0,3519.95521,2154.92021,-6355.65847,-57.149,31.475,1215.059434
480.0,3544.75934,2172.24820,-6335.94345,-56.877,31.500,1214.966410
485.0,3569.49559,2189.50877,-6316.08367,-56.605,31.525,1214.872991
490.0,3594.16334,2206.70159,-6296.07960,-56.333,31.549,1214.779187
495.0,3618.76197,2223.82632,-6275.93170,-56.060,31.572,1214.685007
500.0,3643.29089,2240.88261,-6255.64042,-55.788,31.594,1214.590457
505.0,3667.74948,2257.87013,-6235.20622,-55.516,31.616,1214.495548
510.0,3692.13714,2274.78854,-6214.62958,-55.244,31.638,1214.400288
515.0,3716.45326,2291.63752,-6193.91096,-54.971,31.659,1214.304685
520.0,3740.69725,2308.41673,-6173.05084,-54.699,31.679,1214.208749
525.0,3764.86849,2325.12585,-6152.04970,-54.427,31.699,1214.112487
530.0,3788.96639,2341.76454,-6130.90800,-54.154,31.718,1214.015909
535.0,3812.99035,2358.33249,-6109.62624,-53.882,31.737,1213.919024
