"Time (UTCG)","Satellite10123 - Satellite11501 - x (km)","Satellite10123 - Satellite11501 - y (km)","Satellite10123 - Satellite11501 - z (km)","Lat (deg)","Lon (deg)","Alt (km)"
21 Mar 2024 13:30:00.000,7016.300495,-2819.116202,502.266455,3.822,-21.890,1200.094311
21 Mar 2024 13:30:05.000,7013.675971,-2818.986768,538.352458,4.097,-21.897,1200.108350
21 Mar 2024 13:30:10.000,7010.892267,-2818.791335,574.426163,4.372,-21.903,1200.123356
21 Mar 2024 13:30:15.000,7007.949496,-2818.529791,610.486744,4.647,-21.910,1200.139330
21 Mar 2024 13:30:20.000,7004.847773,-2818.202026,646.533379,4.922,-21.916,1200.156269
21 Mar 2024 13:30:25.000,7001.587216,-2817.807931,682.565243,5.197,-21.922,1200.174172
21 Mar 2024 13:30:30.000,6998.167948,-2817.347399,718.581514,5.472,-21.929,1200.193037
21 Mar 2024 13:30:35.000,6994.590096,-2816.820325,754.581368,5.747,-21.935,1200.212862
21 Mar 2024 13:30:40.000,6990.853788,-2816.226606,790.563983,6.022,-21.942,1200.233646
21 Mar 2024 13:30:45.000,6986.959159,-2815.566139,826.528538,6.297,-21.948,1200.255387
21 Mar 2024 13:30:50.000,6982.906345,-2814.838824,862.474210,6.572,-21.955,1200.278082
21 Mar 2024 13:30:55.000,6978.695488,-2814.044561,898.400178,6.847,-21.961,1200.301730
21 Mar 2024 13:31:00.000,6974.326733,-2813.183254,934.305622,7.122,-21.967,1200.326328
21 Mar 2024 13:31:05.000,6969.800226,-2812.254807,970.189721,7.397,-21.974,1200.351875
21 Mar 2024 13:31:10.000,6965.116121,-2811.259126,1006.051656,7.672,-21.980,1200.378367
21 Mar 2024 13:31:15.000,6960.274573,-2810.196119,1041.890606,7.947,-21.986,1200.405802
21 Mar 2024 13:31:20.000,6955.275740,-2809.065695,1077.705755,8.222,-21.993,1200.434179
21 Mar 2024 13:31:25.000,6950.119786,-2807.867765,1113.496282,8.497,-21.999,1200.463493
21 Mar 2024 13:31:30.000,6944.806876,-2806.602241,1149.261371,8.771,-22.005,1200.493743
21 Mar 2024 13:31:35.000,6939.337182,-2805.269038,1185.000205,9.046,-22.011,1200.524925
21 Mar 2024 13:31:40.000,6933.710877,-2803.868072,1220.711966,9.321,-22.018,1200.557038
21 Mar 2024 13:31:45.000,6927.928137,-2802.399260,1256.395840,9.596,-22.024,1200.590077
21 Mar 2024 13:31:50.000,6921.989144,-2800.862522,1292.051010,9.871,-22.030,1200.624039
21 Mar 2024 13:31:55.000,6915.894082,-2799.257778,1327.676663,10.146,-22.036,1200.658923
21 Mar 2024 13:32:00.000,6909.643140,-2797.584952,1363.271985,10.421,-22.042,1200.694724
21 Mar 2024 13:32:05.000,6903.236509,-2795.843966,1398.836162,10.696,-22.048,1200.731438
21 Mar 2024 13:32:10.000,6896.674384,-2794.034749,1434.368381,10.971,-22.054,1200.769064
21 Mar 2024 13:32:15.000,6889.956964,-2792.157226,1469.867832,11.246,-22.060,1200.807597
21 Mar 2024 13:32:20.000,6883.084452,-2790.211328,1505.333703,11.521,-22.066,1200.847033
21 Mar 2024 13:32:25.000,6876.057054,-2788.196985,1540.765183,11.796,-22.072,1200.887369
21 Mar 2024 13:32:30.000,6868.874979,-2786.114131,1576.161464,12.070,-22.078,1200.928602
21 Mar 2024 13:32:35.000,6861.538440,-2783.962700,1611.521737,12.345,-22.084,1200.970727
21 Mar 2024 13:32:40.000,6854.047655,-2781.742628,1646.845193,12.620,-22.090,1201.013740
21 Mar 2024 13:32:45.000,6846.402842,-2779.453852,1682.131027,12.895,-22.096,1201.057639
21 Mar 2024 13:32:50.000,6838.604227,-2777.096314,1717.378431,13.170,-22.102,1201.102417
21 Mar 2024 13:32:55.000,6830.652037,-2774.669954,1752.586601,13.445,-22.107,1201.148073
21 Mar 2024 13:33:00.000,6822.546501,-2772.174714,1787.754732,13.720,-22.113,1201.194600
21 Mar 2024 13:33:05.000,6814.287856,-2769.610541,1822.882020,13.994,-22.119,1201.241995
21 Mar 2024 13:33:10.000,6805.876338,-2766.977381,1857.967664,14.269,-22.125,1201.290254
21 Mar 2024 13:33:15.000,6797.312189,-2764.275181,1893.010862,14.544,-22.130,1201.339372
21 Mar 2024 13:33:20.000,6788.595654,-2761.503893,1928.010813,14.819,-22.136,1201.389344
21 Mar 2024 13:33:25.000,6779.726981,-2758.663467,1962.966717,15.094,-22.141,1201.440166
21 Mar 2024 13:33:30.000,6770.706422,-2755.753858,1997.877776,15.368,-22.147,1201.491834
21 Mar 2024 13:33:35.000,6761.534233,-2752.775020,2032.743193,15.643,-22.152,1201.544342
21 Mar 2024 13:33:40.000,6752.210673,-2749.726912,2067.562171,15.918,-22.158,1201.597685
21 Mar 2024 13:33:45.000,6742.736004,-2746.609491,2102.333913,16.193,-22.163,1201.651859
21 Mar 2024 13:33:50.000,6733.110491,-2743.422718,2137.057627,16.468,-22.169,1201.706859
21 Mar 2024 13:33:55.000,6723.334403,-2740.166556,2171.732519,16.742,-22.174,1201.762680
21 Mar 2024 13:34:00.000,6713.408015,-2736.840969,2206.357796,17.017,-22.179,1201.819316
21 Mar 2024 13:34:05.000,6703.331601,-2733.445923,2240.932668,17.292,-22.184,1201.876762
21 Mar 2024 13:34:10.000,6693.105441,-2729.981386,2275.456344,17.566,-22.190,1201.935013
21 Mar 2024 13:34:15.000,6682.729819,-2726.447326,2309.928037,17.841,-22.195,1201.994063
21 Mar 2024 13:34:20.000,6672.205020,-2722.843716,2344.346958,18.116,-22.200,1202.053908
21 Mar 2024 13:34:25.000,6661.531335,-2719.170529,2378.712320,18.391,-22.205,1202.114541
21 Mar 2024 13:34:30.000,6650.709056,-2715.427738,2413.023340,18.665,-22.210,1202.175957
21 Mar 2024 13:34:35.000,6639.738481,-2711.615322,2447.279233,18.940,-22.215,1202.238151
21 Mar 2024 13:34:40.000,6628.619908,-2707.733258,2481.479217,19.215,-22.220,1202.301116
21 Mar 2024 13:34:45.000,6617.353643,-2703.781527,2515.622510,19.489,-22.224,1202.364847
21 Mar 2024 13:34:50.000,6605.939990,-2699.760111,2549.708332,19.764,-22.229,1202.429337
21 Mar 2024 13:34:55.000,6594.379261,-2695.668994,2583.735904,20.038,-22.234,1202.494582
21 Mar 2024 13:35:00.000,6582.671769,-2691.508160,2617.704450,20.313,-22.239,1202.560575
21 Mar 2024 13:35:05.000,6570.817831,-2687.277599,2651.613193,20.588,-22.243,1202.627309
21 Mar 2024 13:35:10.000,6558.817767,-2682.977300,2685.461358,20.862,-22.248,1202.694779
21 Mar 2024 13:35:15.000,6546.671899,-2678.607252,2719.248172,21.137,-22.252,1202.762979
21 Mar 2024 13:35:20.000,6534.380556,-2674.167450,2752.972864,21.411,-22.257,1202.831902
21 Mar 2024 13:35:25.000,6521.944067,-2669.657888,2786.634662,21.686,-22.261,1202.901541
21 Mar 2024 13:35:30.000,6509.362765,-2665.078563,2820.232799,21.961,-22.265,1202.971891
21 Mar 2024 13:35:35.000,6496.636987,-2660.429473,2853.766505,22.235,-22.270,1203.042945
21 Mar 2024 13:35:40.000,6483.767073,-2655.710619,2887.235016,22.510,-22.274,1203.114697
21 Mar 2024 13:35:45.000,6470.753367,-2650.922002,2920.637566,22.784,-22.278,1203.187139
21 Mar 2024 13:35:50.000,6457.596214,-2646.063627,2953.973392,23.059,-22.282,1203.260265
