time,x,y,z,lat,lon,alt
0.0,2469.85028,-1399.77596,-7026.28118,-68.111,-29.542,1218.393734
5.0,2500.73260,-1412.66662,-7012.76478,-67.841,-29.462,1218.323274
10.0,2531.54872,-1425.54771,-6999.08817,-67.571,-29.384,1218.252115
15.0,2562.29794,-1438.41889,-6985.25166,-67.301,-29.309,1218.180263
20.0,2592.97958,-1451.27981,-6971.25557,-67.030,-29.236,1218.107725
25.0,2623.59294,-1464.13014,-6957.10022,-66.760,-29.164,1218.034508
30.0,2654.13734,-1476.96952,-6942.78592,-66.489,-29.095,1217.960619
35.0,2684.61210,-1489.79763,-6928.31302,-66.219,-29.028,1217.886063
40.0,2715.01652,-1502.61412,-6913.68183,-65.948,-28.962,1217.810848
45.0,2745.34993,-1515.41864,-6898.89270,-65.678,-28.898,1217.734980
50.0,2775.61164,-1528.21085,-6883.94596,-65.407,-28.837,1217.658467
55.0,2805.80098,-1540.99041,-6868.84195,-65.136,-28.776,1217.581315
60.0,2835.91728,-1553.75698,-6853.58102,-64.866,-28.718,1217.503531
65.0,2865.95985,-1566.51021,-6838.16352,-64.595,-28.661,1217.425123
70.0,2895.92803,-1579.24976,-6822.58979,-64.324,-28.605,1217.346097
75.0,2925.82114,-1591.97528,-6806.86020,-64.053,-28.551,1217.266461
80.0,2955.63851,-1604.68643,-6790.97510,-63.782,-28.499,1217.186222
85.0,2985.37949,-1617.38287,-6774.93486,-63.511,-28.447,1217.105387
90.0,3015.04340,-1630.06425,-6758.73984,-63.240,-28.398,1217.023963
95.0,3044.62959,-1642.73023,-6742.39041,-62.969,-28.349,1216.941959
100.0,3074.13738,-1655.38046,-6725.88695,-62.697,-28.302,1216.859380
105.0,3103.56613,-1668.01460,-6709.22984,-62.426,-28.256,1216.776236
110.0,3132.91517,-1680.63230,-6692.41944,-62.155,-28.211,1216.692532
115.0,3162.18386,-1693.23322,-6675.45616,-61.884,-28.167,1216.608278
120.0,3191.37153,-1705.81701,-6658.34037,-61.612,-28.125,1216.523480
125.0,3220.47755,-1718.38333,-6641.07247,-61.341,-28.084,1216.438147
130.0,3249.50125,-1730.93183,-6623.65284,-61.069,-28.043,1216.352286
135.0,3278.44200,-1743.46217,-6606.08190,-60.798,-28.004,1216.265904
140.0,3307.29915,-1755.97401,-6588.36004,-60.527,-27.966,1216.179010
145.0,3336.07206,-1768.46699,-6570.48766,-60.255,-27.928,1216.091612
150.0,3364.76009,-1780.94076,-6552.46518,-59.983,-27.892,1216.003717
155.0,3393.36260,-1793.39500,-6534.29300,-59.712,-27.856,1215.915334
160.0,3421.87896,-1805.82935,-6515.97154,-59.440,-27.822,1215.826471
165.0,3450.30853,-1818.24346,-6497.50122,-59.168,-27.788,1215.737135
170.0,3478.65069,-1830.63699,-6478.88247,-58.897,-27.756,1215.647334
175.0,3506.90480,-1843.00959,-6460.11570,-58.625,-27.724,1215.557078
180.0,3535.07024,-1855.36092,-6441.20134,-58.353,-27.692,1215.466373
185.0,3563.14638,-1867.69063,-6422.13983,-58.081,-27.662,1215.375229
190.0,3591.13260,-1879.99838,-6402.93160,-57.809,-27.633,1215.283654
195.0,3619.02829,-1892.28382,-6383.57710,-57.538,-27.604,1215.191655
200.0,3646.83282,-1904.54661,-6364.07676,-57.266,-27.576,1215.099242
205.0,3674.54559,-1916.78640,-6344.43102,-56.994,-27.548,1215.006423
210.0,3702.16597,-1929.00285,-6324.64035,-56.722,-27.522,1214.913205
215.0,3729.69336,-1941.19560,-6304.70519,-56.450,-27.496,1214.819599
220.0,3757.12715,-1953.36432,-6284.62599,-56.178,-27.470,1214.725611
225.0,3784.46673,-1965.50867,-6264.40321,-55.905,-27.446,1214.631251
230.0,3811.71151,-1977.62829,-6244.03733,-55.633,-27.422,1214.536528
235.0,3838.86088,-1989.72284,-6223.52879,-55.361,-27.398,1214.441449
240.0,3865.91424,-2001.79197,-6202.87807,-55.089,-27.375,1214.346024
245.0,3892.87100,-2013.83535,-6182.08565,-54.817,-27.353,1214.250261
250.0,3919.73056,-2025.85263,-6161.15199,-54.545,-27.331,1214.154169
255.0,3946.49233,-2037.84346,-6140.07758,-54.272,-27.310,1214.057756
260.0,3973.15573,-2049.80751,-6118.86289,-54.000,-27.290,1213.961033
265.0,3999.72017,-2061.74441,-6097.50842,-53.728,-27.270,1213.864006
270.0,4026.18507,-2073.65385,-6076.01464,-53.455,-27.250,1213.766685
275.0,4052.54984,-2085.53546,-6054.38206,-53.183,-27.231,1213.669080
280.0,4078.81390,-2097.38891,-6032.61115,-52.911,-27.213,1213.571198
285.0,4104.97669,-2109.21385,-6010.70243,-52.638,-27.195,1213.473049
290.0,4131.03762,-2121.00994,-5988.65640,-52.366,-27.177,1213.374642
295.0,4156.99612,-2132.77684,-5966.47354,-52.093,-27.160,1213.275986
300.0,4182.85164,-2144.51421,-5944.15438,-51.821,-27.144,1213.177089
305.0,4208.60360,-2156.22170,-5921.69943,-51.548,-27.128,1213.077960
310.0,4234.25144,-2167.89897,-5899.10919,-51.276,-27.112,1212.978610
315.0,4259.79460,-2179.54569,-5876.38418,-51.003,-27.097,1212.879046
