"Time (UTCG)","Satellite10728 - Satellite11501 - x (km)","Satellite10728 - Satellite11501 - y (km)","Satellite10728 - Satellite11501 - z (km)","Lat (deg)","Lon (deg)","Alt (km)"
21 Mar 2024 13:30:00.000,3507.586194,3111.338640,5953.534358,51.935,41.574,1213.218607
21 Mar 2024 13:30:05.000,3485.503987,3093.413372,5975.802545,52.208,41.589,1213.317431
21 Mar 2024 13:30:10.000,3463.329515,3075.433994,5997.934212,52.480,41.605,1213.416012
21 Mar 2024 13:30:15.000,3441.063242,3057.400982,6019.928853,52.753,41.621,1213.514340
21 Mar 2024 13:30:20.000,3418.705635,3039.314811,6041.785966,53.025,41.638,1213.612405
21 Mar 2024 13:30:25.000,3396.257163,3021.175959,6063.505051,53.298,41.655,1213.710201
21 Mar 2024 13:30:30.000,3373.718298,3002.984904,6085.085612,53.570,41.673,1213.807716
21 Mar 2024 13:30:35.000,3351.089514,2984.742125,6106.527156,53.843,41.691,1213.904943
21 Mar 2024 13:30:40.000,3328.371287,2966.448102,6127.829193,54.115,41.709,1214.001872
21 Mar 2024 13:30:45.000,3305.564096,2948.103315,6148.991238,54.387,41.729,1214.098495
21 Mar 2024 13:30:50.000,3282.668422,2929.708246,6170.012805,54.660,41.748,1214.194803
21 Mar 2024 13:30:55.000,3259.684748,2911.263378,6190.893415,54.932,41.768,1214.290788
21 Mar 2024 13:31:00.000,3236.613561,2892.769192,6211.632591,55.204,41.789,1214.386439
21 Mar 2024 13:31:05.000,3213.455349,2874.226172,6232.229860,55.476,41.811,1214.481750
21 Mar 2024 13:31:10.000,3190.210601,2855.634804,6252.684749,55.749,41.832,1214.576710
21 Mar 2024 13:31:15.000,3166.879812,2836.995573,6272.996793,56.021,41.855,1214.671312
21 Mar 2024 13:31:20.000,3143.463475,2818.308963,6293.165528,56.293,41.878,1214.765547
21 Mar 2024 13:31:25.000,3119.962089,2799.575463,6313.190491,56.565,41.902,1214.859406
21 Mar 2024 13:31:30.000,3096.376154,2780.795559,6333.071227,56.837,41.926,1214.952881
