time,x,y,z,lat,lon,alt
0.0,2171.86771,4031.96993,6037.74540,52.975,61.690,1213.594250
5.0,2157.02813,4007.23834,6059.49098,53.247,61.707,1213.692100
10.0,2142.12149,3982.42659,6081.09813,53.520,61.724,1213.789672
15.0,2127.14805,3957.53529,6102.56635,53.792,61.742,1213.886957
20.0,2112.10811,3932.56505,6123.89515,54.064,61.761,1213.983946
25.0,2097.00195,3907.51650,6145.08405,54.337,61.779,1214.080631
30.0,2081.82985,3882.39025,6166.13257,54.609,61.799,1214.177002
35.0,2066.59211,3857.18691,6187.04021,54.882,61.819,1214.273051
40.0,2051.28900,3831.90712,6207.80651,55.154,61.839,1214.368769
45.0,2035.92083,3806.55148,6228.43099,55.426,61.860,1214.464148
50.0,2020.48789,3781.12063,6248.91318,55.698,61.882,1214.559178
55.0,2004.99048,3755.61518,6269.25260,55.971,61.904,1214.653851
60.0,1989.42888,3730.03576,6289.44881,56.243,61.927,1214.748159
65.0,1973.80341,3704.38301,6309.50133,56.515,61.950,1214.842093
70.0,1958.11436,3678.65755,6329.40970,56.787,61.974,1214.935644
75.0,1942.36204,3652.86002,6349.17347,57.059,61.999,1215.028803
80.0,1926.54675,3626.99103,6368.79220,57.331,62.024,1215.121563
85.0,1910.66879,3601.05123,6388.26543,57.603,62.050,1215.213915
90.0,1894.72849,3575.04125,6407.59271,57.875,62.077,1215.305851
95.0,1878.72615,3548.96174,6426.77361,58.147,62.104,1215.397362
100.0,1862.66208,3522.81331,6445.80769,58.419,62.133,1215.488439
105.0,1846.53660,3496.59662,6464.69451,58.691,62.162,1215.579075
110.0,1830.35002,3470.31230,6483.43364,58.963,62.191,1215.669262
115.0,1814.10266,3443.96100,6502.02465,59.235,62.222,1215.758990
120.0,1797.79485,3417.54336,6520.46712,59.507,62.253,1215.848252
125.0,1781.42690,3391.06002,6538.76062,59.778,62.286,1215.937041
130.0,1764.99915,3364.51163,6556.90475,60.050,62.319,1216.025347
135.0,1748.51190,3337.89883,6574.89908,60.322,62.353,1216.113163
140.0,1731.96550,3311.22227,6592.74320,60.593,62.388,1216.200480
145.0,1715.36028,3284.48261,6610.43671,60.865,62.424,1216.287292
150.0,1698.69655,3257.68048,6627.97920,61.137,62.461,1216.373589
155.0,1681.97466,3230.81655,6645.37027,61.408,62.498,1216.459365
160.0,1665.19495,3203.89146,6662.60952,61.680,62.537,1216.544611
165.0,1648.35774,3176.90587,6679.69657,61.951,62.577,1216.629320
170.0,1631.46338,3149.86043,6696.63101,62.223,62.618,1216.713483
175.0,1614.51221,3122.75580,6713.41246,62.494,62.660,1216.797094
