"Time (UTCG)","Satellite10426 - Satellite11501 - x (km)","Satellite10426 - Satellite11501 - y (km)","Satellite10426 - Satellite11501 - z (km)","Lat (deg)","Lon (deg)","Alt (km)"
21 Mar 2024 13:30:00.000,6314.485005,1086.646179,4046.558983,32.421,9.764,1206.114781
21 Mar 2024 13:30:05.000,6295.410676,1083.222485,4077.081536,32.695,9.763,1206.207268
21 Mar 2024 13:30:10.000,6276.190862,1079.788162,4107.510947,32.969,9.762,1206.300161
21 Mar 2024 13:30:15.000,6256.825991,1076.343393,4137.846519,33.243,9.761,1206.393452
21 Mar 2024 13:30:20.000,6237.316494,1072.888363,4168.087560,33.517,9.760,1206.487133
21 Mar 2024 13:30:25.000,6217.662808,1069.423255,4198.233379,33.791,9.759,1206.581194
21 Mar 2024 13:30:30.000,6197.865371,1065.948254,4228.283287,34.065,9.759,1206.675627
21 Mar 2024 13:30:35.000,6177.924627,1062.463542,4258.236597,34.339,9.758,1206.770423
21 Mar 2024 13:30:40.000,6157.841021,1058.969303,4288.092626,34.612,9.758,1206.865574
21 Mar 2024 13:30:45.000,6137.615002,1055.465721,4317.850691,34.886,9.758,1206.961071
21 Mar 2024 13:30:50.000,6117.247023,1051.952979,4347.510113,35.160,9.757,1207.056906
21 Mar 2024 13:30:55.000,6096.737540,1048.431261,4377.070213,35.434,9.757,1207.153068
21 Mar 2024 13:31:00.000,6076.087012,1044.900749,4406.530317,35.708,9.758,1207.249550
21 Mar 2024 13:31:05.000,6055.295902,1041.361626,4435.889752,35.982,9.758,1207.346343
21 Mar 2024 13:31:10.000,6034.364676,1037.814076,4465.147846,36.255,9.758,1207.443438
21 Mar 2024 13:31:15.000,6013.293804,1034.258280,4494.303932,36.529,9.759,1207.540826
21 Mar 2024 13:31:20.000,5992.083757,1030.694422,4523.357342,36.803,9.760,1207.638498
21 Mar 2024 13:31:25.000,5970.735012,1027.122684,4552.307415,37.077,9.761,1207.736444
21 Mar 2024 13:31:30.000,5949.248048,1023.543247,4581.153487,37.350,9.762,1207.834657
21 Mar 2024 13:31:35.000,5927.623348,1019.956294,4609.894901,37.624,9.763,1207.933127
21 Mar 2024 13:31:40.000,5905.861396,1016.362006,4638.530999,37.898,9.765,1208.031845
21 Mar 2024 13:31:45.000,5883.962683,1012.760566,4667.061127,38.171,9.766,1208.130802
21 Mar 2024 13:31:50.000,5861.927701,1009.152155,4695.484634,38.445,9.768,1208.229989
21 Mar 2024 13:31:55.000,5839.756944,1005.536954,4723.800871,38.719,9.770,1208.329397
21 Mar 2024 13:32:00.000,5817.450911,1001.915143,4752.009189,38.992,9.772,1208.429016
