time,x,y,z,lat,lon,alt
0.0,4380.71436,-2106.70694,-5813.71550,-50.259,-25.683,1212.606452
5.0,4406.13167,-2117.63033,-5790.49271,-49.987,-25.669,1212.506173
10.0,4431.44095,-2128.52414,-5767.13763,-49.714,-25.656,1212.405725
15.0,4456.64164,-2139.38803,-5743.65080,-49.441,-25.643,1212.305115
20.0,4481.73319,-2150.22169,-5720.03276,-49.169,-25.631,1212.204354
25.0,4506.71505,-2161.02478,-5696.28403,-48.896,-25.618,1212.103450
30.0,4531.58668,-2171.79698,-5672.40517,-48.623,-25.606,1212.002412
35.0,4556.34754,-2182.53796,-5648.39672,-48.350,-25.595,1211.901250
40.0,4580.99708,-2193.24741,-5624.25923,-48.077,-25.584,1211.799973
45.0,4605.53478,-2203.92498,-5599.99325,-47.804,-25.573,1211.698591
50.0,4629.96009,-2214.57037,-5575.59934,-47.532,-25.562,1211.597112
55.0,4654.27249,-2225.18324,-5551.07805,-47.259,-25.552,1211.495546
60.0,4678.47145,-2235.76328,-5526.42994,-46.986,-25.542,1211.393901
65.0,4702.55644,-2246.31015,-5501.65557,-46.713,-25.533,1211.292189
70.0,4726.52693,-2256.82354,-5476.75552,-46.440,-25.524,1211.190416
75.0,4750.38242,-2267.30313,-5451.73035,-46.167,-25.515,1211.088594
80.0,4774.12237,-2277.74858,-5426.58063,-45.894,-25.506,1210.986731
85.0,4797.74629,-2288.15959,-5401.30694,-45.621,-25.498,1210.884836
90.0,4821.25365,-2298.53582,-5375.90985,-45.348,-25.490,1210.782920
95.0,4844.64395,-2308.87696,-5350.38995,-45.074,-25.482,1210.680990
100.0,4867.91668,-2319.18269,-5324.74781,-44.801,-25.474,1210.579057
105.0,4891.07134,-2329.45268,-5298.98403,-44.528,-25.467,1210.477129
110.0,4914.10743,-2339.68662,-5273.09919,-44.255,-25.460,1210.375217
115.0,4937.02446,-2349.88419,-5247.09388,-43.982,-25.453,1210.273329
120.0,4959.82192,-2360.04507,-5220.96870,-43.709,-25.447,1210.171475
125.0,4982.49934,-2370.16894,-5194.72424,-43.435,-25.440,1210.069663
130.0,5005.05621,-2380.25549,-5168.36111,-43.162,-25.434,1209.967904
135.0,5027.49206,-2390.30439,-5141.87990,-42.889,-25.429,1209.866207
140.0,5049.80641,-2400.31533,-5115.28122,-42.616,-25.423,1209.764581
145.0,5071.99877,-2410.28799,-5088.56569,-42.342,-25.418,1209.663035
150.0,5094.06866,-2420.22206,-5061.73390,-42.069,-25.413,1209.561578
155.0,5116.01563,-2430.11722,-5034.78647,-41.796,-25.408,1209.460220
160.0,5137.83919,-2439.97316,-5007.72402,-41.522,-25.403,1209.358970
165.0,5159.53887,-2449.78957,-4980.54717,-41.249,-25.399,1209.257838
170.0,5181.11423,-2459.56612,-4953.25653,-40.975,-25.395,1209.156832
175.0,5202.56479,-2469.30251,-4925.85273,-40.702,-25.391,1209.055962
180.0,5223.89009,-2478.99843,-4898.33640,-40.429,-25.387,1208.955237
185.0,5245.08969,-2488.65356,-4870.70817,-40.155,-25.383,1208.854667
190.0,5266.16312,-2498.26759,-4842.96865,-39.882,-25.380,1208.754259
195.0,5287.10995,-2507.84022,-4815.11850,-39.608,-25.376,1208.654025
200.0,5307.92972,-2517.37112,-4787.15835,-39.335,-25.373,1208.553973
205.0,5328.62200,-2526.86000,-4759.08883,-39.061,-25.371,1208.454111
210.0,5349.18635,-2536.30654,-4730.91059,-38.788,-25.368,1208.354450
215.0,5369.62232,-2545.71043,-4702.62426,-38.514,-25.365,1208.254998
220.0,5389.92949,-2555.07137,-4674.23050,-38.240,-25.363,1208.155764
225.0,5410.10742,-2564.38906,-4645.72996,-37.967,-25.361,1208.056758
230.0,5430.15569,-2573.66318,-4617.12328,-37.693,-25.359,1207.957989
235.0,5450.07388,-2582.89342,-4588.41112,-37.419,-25.357,1207.859465
240.0,5469.86156,-2592.07950,-4559.59414,-37.146,-25.356,1207.761196
245.0,5489.51833,-2601.22109,-4530.67299,-36.872,-25.354,1207.663190
250.0,5509.04375,-2610.31790,-4501.64834,-36.598,-25.353,1207.565457
255.0,5528.43744,-2619.36963,-4472.52084,-36.325,-25.352,1207.468006
260.0,5547.69896,-2628.37596,-4443.29116,-36.051,-25.351,1207.370845
265.0,5566.82794,-2637.33661,-4413.95998,-35.777,-25.350,1207.273984
270.0,5585.82395,-2646.25128,-4384.52795,-35.503,-25.349,1207.177432
275.0,5604.68660,-2655.11965,-4354.99576,-35.229,-25.348,1207.081196
280.0,5623.41551,-2663.94144,-4325.36408,-34.956,-25.348,1206.985287
285.0,5642.01027,-2672.71634,-4295.63358,-34.682,-25.348,1206.889712
290.0,5660.47050,-2681.44405,-4265.80495,-34.408,-25.348,1206.794481
295.0,5678.79582,-2690.12429,-4235.87886,-34.134,-25.348,1206.699602
300.0,5696.98584,-2698.75676,-4205.85600,-33.860,-25.348,1206.605085
305.0,5715.04019,-2707.34115,-4175.73705,-33.586,-25.348,1206.510937
310.0,5732.95849,-2715.87718,-4145.52271,-33.312,-25.348,1206.417167
315.0,5750.74036,-2724.36455,-4115.21366,-33.038,-25.349,1206.323785
320.0,5768.38545,-2732.80298,-4084.81060,-32.764,-25.350,1206.230798
325.0,5785.89338,-2741.19216,-4054.31421,-32.490,-25.350,1206.138215
330.0,5803.26380,-2749.53181,-4023.72521,-32.216,-25.351,1206.046045
335.0,5820.49634,-2757.82164,-3993.04428,-31.942,-25.352,1205.954295
340.0,5837.59065,-2766.06135,-3962.27212,-31.668,-25.353,1205.862976
345.0,5854.54638,-2774.25067,-3931.40945,-31.394,-25.355,1205.772094
350.0,5871.36319,-2782.38930,-3900.45696,-31.120,-25.356,1205.681658
355.0,5888.04072,-2790.47696,-3869.41536,-30.846,-25.357,1205.591677
360.0,5904.57863,-2798.51336,-3838.28536,-30.572,-25.359,1205.502159
365.0,5920.97660,-2806.49821,-3807.06768,-30.298,-25.361,1205.413112
370.0,5937.23427,-2814.43124,-3775.76302,-30.024,-25.362,1205.324544
375.0,5953.35132,-2822.31216,-3744.37210,-29.750,-25.364,1205.236464
380.0,5969.32743,-2830.14069,-3712.89564,-29.476,-25.366,1205.148879
385.0,5985.16227,-2837.91655,-3681.33436,-29.201,-25.368,1205.061797
390.0,6000.85551,-2845.63946,-3649.68897,-28.927,-25.371,1204.975227
395.0,6016.40684,-2853.30913,-3617.96021,-28.653,-25.373,1204.889176
400.0,6031.81595,-2860.92530,-3586.14879,-28.379,-25.375,1204.803653
405.0,6047.08252,-2868.48769,-3554.25544,-28.105,-25.378,1204.718665
410.0,6062.20625,-2875.99601,-3522.28090,-27.830,-25.380,1204.634221
415.0,6077.18683,-2883.45000,-3490.22588,-27.556,-25.383,1204.550327
420.0,6092.02397,-2890.84937,-3458.09113,-27.282,-25.386,1204.466991
425.0,6106.71736,-2898.19387,-3425.87738,-27.008,-25.389,1204.384222
430.0,6121.26671,-2905.48321,-3393.58536,-26.733,-25.392,1204.302027
435.0,6135.67173,-2912.71712,-3361.21582,-26.459,-25.395,1204.220413
440.0,6149.93214,-2919.89534,-3328.76948,-26.185,-25.398,1204.139388
445.0,6164.04765,-2927.01759,-3296.24710,-25.910,-25.401,1204.058959
450.0,6178.01799,-2934.08362,-3263.64941,-25.636,-25.404,1203.979135
455.0,6191.84286,-2941.09315,-3230.97716,-25.361,-25.407,1203.899921
460.0,6205.52202,-2948.04591,-3198.23110,-25.087,-25.411,1203.821326
465.0,6219.05518,-2954.94164,-3165.41198,-24.813,-25.414,1203.743356
470.0,6232.44207,-2961.78009,-3132.52053,-24.538,-25.418,1203.666020
475.0,6245.68245,-2968.56098,-3099.55753,-24.264,-25.422,1203.589323
480.0,6258.77604,-2975.28406,-3066.52371,-23.989,-25.425,1203.513273
485.0,6271.72259,-2981.94906,-3033.41984,-23.715,-25.429,1203.437878
490.0,6284.52186,-2988.55574,-3000.24666,-23.441,-25.433,1203.363143
495.0,6297.17359,-2995.10382,-2967.00495,-23.166,-25.437,1203.289076
500.0,6309.67753,-3001.59305,-2933.69545,-22.892,-25.441,1203.215684
505.0,6322.03346,-3008.02318,-2900.31893,-22.617,-25.445,1203.142973
510.0,6334.24112,-3014.39396,-2866.87615,-22.343,-25.449,1203.070951
515.0,6346.30030,-3020.70512,-2833.36787,-22.068,-25.453,1202.999623
520.0,6358.21074,-3026.95643,-2799.79487,-21.793,-25.458,1202.928997
525.0,6369.97224,-3033.14762,-2766.15790,-21.519,-25.462,1202.859078
530.0,6381.58457,-3039.27846,-2732.45774,-21.244,-25.466,1202.789874
535.0,6393.04750,-3045.34868,-2698.69515,-20.970,-25.471,1202.721391
540.0,6404.36082,-3051.35805,-2664.87091,-20.695,-25.475,1202.653634
545.0,6415.52432,-3057.30631,-2630.98579,-20.421,-25.480,1202.586611
550.0,6426.53779,-3063.19323,-2597.04056,-20.146,-25.485,1202.520327
555.0,6437.40102,-3069.01856,-2563.03600,-19.871,-25.489,1202.454789
560.0,6448.11382,-3074.78205,-2528.97289,-19.597,-25.494,1202.390003
565.0,6458.67598,-3080.48348,-2494.85200,-19.322,-25.499,1202.325974
570.0,6469.08731,-3086.12259,-2460.67412,-19.047,-25.504,1202.262708
575.0,6479.34762,-3091.69915,-2426.44002,-18.773,-25.509,1202.200212
580.0,6489.45672,-3097.21293,-2392.15049,-18.498,-25.514,1202.138491
585.0,6499.41443,-3102.66368,-2357.80630,-18.223,-25.519,1202.077550
590.0,6509.22057,-3108.05117,-2323.40826,-17.949,-25.524,1202.017396
595.0,6518.87495,-3113.37518,-2288.95713,-17.674,-25.529,1201.958034
600.0,6528.37742,-3118.63546,-2254.45371,-17.399,-25.534,1201.899469
605.0,6537.72780,-3123.83179,-2219.89878,-17.125,-25.539,1201.841708
610.0,6546.92592,-3128.96394,-2185.29314,-16.850,-25.544,1201.784754
615.0,6555.97162,-3134.03168,-2150.63758,-16.575,-25.550,1201.728614
620.0,6564.86474,-3139.03478,-2115.93288,-16.300,-25.555,1201.673292
625.0,6573.60513,-3143.97302,-2081.17985,-16.026,-25.560,1201.618794
630.0,6582.19265,-3148.84618,-2046.37927,-15.751,-25.566,1201.565125
635.0,6590.62713,-3153.65403,-2011.53194,-15.476,-25.571,1201.512289
640.0,6598.90843,-3158.39635,-1976.63865,-15.201,-25.577,1201.460292
645.0,6607.03643,-3163.07293,-1941.70020,-14.926,-25.582,1201.409138
650.0,6615.01097,-3167.68354,-1906.71740,-14.652,-25.588,1201.358833
655.0,6622.83193,-3172.22797,-1871.69104,-14.377,-25.594,1201.309380
660.0,6630.49917,-3176.70601,-1836.62191,-14.102,-25.599,1201.260784
665.0,6638.01258,-3181.11743,-1801.51083,-13.827,-25.605,1201.213051
670.0,6645.37203,-3185.46202,-1766.35859,-13.552,-25.611,1201.166183
675.0,6652.57740,-3189.73959,-1731.16600,-13.278,-25.617,1201.120186
680.0,6659.62857,-3193.94990,-1695.93386,-13.003,-25.622,1201.075063
685.0,6666.52545,-3198.09277,-1660.66298,-12.728,-25.628,1201.030820
690.0,6673.26790,-3202.16797,-1625.35415,-12.453,-25.634,1200.987460
695.0,6679.85585,-3206.17532,-1590.00820,-12.178,-25.640,1200.944986
700.0,6686.28918,-3210.11459,-1554.62592,-11.903,-25.646,1200.903404
705.0,6692.56780,-3213.98559,-1519.20812,-11.628,-25.652,1200.862716
710.0,6698.69161,-3217.78812,-1483.75561,-11.353,-25.658,1200.822927
715.0,6704.66053,-3221.52198,-1448.26921,-11.079,-25.664,1200.784040
720.0,6710.47447,-3225.18697,-1412.74972,-10.804,-25.670,1200.746059
725.0,6716.13335,-3228.78289,-1377.19796,-10.529,-25.676,1200.708988
730.0,6721.63710,-3232.30956,-1341.61473,-10.254,-25.682,1200.672829
735.0,6726.98562,-3235.76677,-1306.00086,-9.979,-25.688,1200.637586
740.0,6732.17887,-3239.15433,-1270.35714,-9.704,-25.694,1200.603262
745.0,6737.21677,-3242.47206,-1234.68441,-9.429,-25.700,1200.569861
750.0,6742.09925,-3245.71976,-1198.98347,-9.154,-25.707,1200.537386
755.0,6746.82625,-3248.89726,-1163.25514,-8.879,-25.713,1200.505839
760.0,6751.39773,-3252.00435,-1127.50023,-8.604,-25.719,1200.475224
765.0,6755.81362,-3255.04087,-1091.71956,-8.329,-25.725,1200.445543
770.0,6760.07389,-3258.00662,-1055.91395,-8.054,-25.732,1200.416799
775.0,6764.17848,-3260.90142,-1020.08422,-7.779,-25.738,1200.388995
780.0,6768.12735,-3263.72511,-984.23119,-7.504,-25.744,1200.362133
785.0,6771.92046,-3266.47749,-948.35567,-7.229,-25.751,1200.336216
790.0,6775.55779,-3269.15839,-912.45848,-6.954,-25.757,1200.311246
795.0,6779.03930,-3271.76763,-876.54045,-6.679,-25.763,1200.287226
800.0,6782.36496,-3274.30506,-840.60239,-6.404,-25.770,1200.264158
805.0,6785.53475,-3276.77048,-804.64513,-6.129,-25.776,1200.242043
810.0,6788.54865,-3279.16374,-768.66949,-5.854,-25.783,1200.220884
815.0,6791.40665,-3281.48466,-732.67629,-5.579,-25.789,1200.200683
820.0,6794.10873,-3283.73309,-696.66635,-5.304,-25.795,1200.181442
825.0,6796.65488,-3285.90884,-660.64049,-5.029,-25.802,1200.163163
830.0,6799.04511,-3288.01177,-624.59954,-4.754,-25.808,1200.145846
835.0,6801.27941,-3290.04170,-588.54432,-4.479,-25.815,1200.129494
840.0,6803.35778,-3291.99848,-552.47565,-4.204,-25.821,1200.114109
845.0,6805.28022,-3293.88196,-516.39436,-3.929,-25.828,1200.099691
850.0,6807.04676,-3295.69196,-480.30128,-3.654,-25.834,1200.086243
855.0,6808.65739,-3297.42835,-444.19722,-3.379,-25.841,1200.073765
860.0,6810.11215,-3299.09097,-408.08302,-3.104,-25.847,1200.062258
865.0,6811.41104,-3300.67965,-371.95949,-2.829,-25.854,1200.051724
870.0,6812.55410,-3302.19427,-335.82747,-2.554,-25.860,1200.042163
875.0,6813.54135,-3303.63466,-299.68777,-2.279,-25.867,1200.033577
880.0,6814.37282,-3305.00067,-263.54122,-2.004,-25.874,1200.025966
885.0,6815.04856,-3306.29218,-227.38866,-1.729,-25.880,1200.019330
890.0,6815.56859,-3307.50903,-191.23090,-1.454,-25.887,1200.013672
895.0,6815.93296,-3308.65108,-155.06877,-1.179,-25.893,1200.008990
900.0,6816.14172,-3309.71819,-118.90310,-0.904,-25.900,1200.005286
905.0,6816.19492,-3310.71022,-82.73471,-0.629,-25.906,1200.002559
910.0,6816.09261,-3311.62704,-46.56443,-0.354,-25.913,1200.000811
915.0,6815.83485,-3312.46852,-10.39309,-0.079,-25.920,1200.000040
920.0,6815.42170,-3313.23451,25.77849,0.196,-25.926,1200.000248
925.0,6814.85322,-3313.92490,61.94948,0.471,-25.933,1200.001435
930.0,6814.12948,-3314.53955,98.11905,0.746,-25.939,1200.003599
935.0,6813.25056,-3315.07833,134.28639,1.021,-25.946,1200.006742
940.0,6812.21653,-3315.54112,170.45065,1.296,-25.952,1200.010862
945.0,6811.02747,-3315.92780,206.61102,1.571,-25.959,1200.015959
950.0,6809.68345,-3316.23823,242.76667,1.846,-25.966,1200.022033
955.0,6808.18457,-3316.47232,278.91678,2.121,-25.972,1200.029084
960.0,6806.53093,-3316.62992,315.06051,2.396,-25.979,1200.037110
965.0,6804.72260,-3316.71094,351.19705,2.671,-25.985,1200.046111
970.0,6802.75968,-3316.71524,387.32556,2.946,-25.992,1200.056086
975.0,6800.64229,-3316.64273,423.44522,3.221,-25.998,1200.067034
980.0,6798.37052,-3316.49329,459.55521,3.496,-26.005,1200.078954
985.0,6795.94447,-3316.26681,495.65470,3.771,-26.011,1200.091845
990.0,6793.36427,-3315.96318,531.74287,4.046,-26.018,1200.105706
995.0,6790.63003,-3315.58230,567.81889,4.321,-26.024,1200.120535
1000.0,6787.74185,-3315.12406,603.88194,4.596,-26.031,1200.136332
1005.0,6784.69988,-3314.58836,639.93119,4.871,-26.037,1200.153094
1010.0,6781.50423,-3313.97510,675.96582,5.146,-26.044,1200.170820
1015.0,6778.15503,-3313.28419,711.98501,5.421,-26.050,1200.189509
1020.0,6774.65241,-3312.51553,747.98793,5.696,-26.057,1200.209158
1025.0,6770.99652,-3311.66902,783.97377,5.971,-26.063,1200.229767
1030.0,6767.18748,-3310.74457,819.94169,6.246,-26.069,1200.251333
1035.0,6763.22545,-3309.74208,855.89088,6.521,-26.076,1200.273853
1040.0,6759.11057,-3308.66148,891.82052,6.796,-26.082,1200.297327
1045.0,6754.84300,-3307.50267,927.72979,7.071,-26.089,1200.321751
1050.0,6750.42287,-3306.26557,963.61786,7.346,-26.095,1200.347124
1055.0,6745.85036,-3304.95010,999.48391,7.621,-26.101,1200.373443
1060.0,6741.12563,-3303.55617,1035.32714,7.896,-26.108,1200.400706
1065.0,6736.24883,-3302.08371,1071.14671,8.171,-26.114,1200.428910
1070.0,6731.22014,-3300.53263,1106.94180,8.446,-26.120,1200.458053
1075.0,6726.03973,-3298.90286,1142.71161,8.721,-26.126,1200.488132
1080.0,6720.70777,-3297.19433,1178.45532,8.996,-26.133,1200.519144
1085.0,6715.22445,-3295.40697,1214.17210,9.271,-26.139,1200.551086
1090.0,6709.58994,-3293.54070,1249.86114,9.546,-26.145,1200.583955
1095.0,6703.80443,-3291.59547,1285.52163,9.821,-26.151,1200.617749
1100.0,6697.86810,-3289.57119,1321.15276,10.096,-26.157,1200.652464
1105.0,6691.78116,-3287.46782,1356.75369,10.371,-26.163,1200.688097
1110.0,6685.54380,-3285.28528,1392.32364,10.646,-26.170,1200.724644
1115.0,6679.15621,-3283.02352,1427.86177,10.921,-26.176,1200.762103
1120.0,6672.61861,-3280.68248,1463.36729,11.195,-26.182,1200.800470
1125.0,6665.93119,-3278.26209,1498.83937,11.470,-26.188,1200.839741
1130.0,6659.09416,-3275.76232,1534.27721,11.745,-26.194,1200.879913
1135.0,6652.10775,-3273.18310,1569.68000,12.020,-26.200,1200.920982
1140.0,6644.97216,-3270.52439,1605.04693,12.295,-26.206,1200.962944
1145.0,6637.68761,-3267.78613,1640.37719,12.570,-26.211,1201.005795
1150.0,6630.25434,-3264.96828,1675.66997,12.845,-26.217,1201.049531
1155.0,6622.67256,-3262.07080,1710.92448,13.120,-26.223,1201.094149
1160.0,6614.94251,-3259.09365,1746.13990,13.394,-26.229,1201.139644
1165.0,6607.06442,-3256.03677,1781.31542,13.669,-26.235,1201.186012
1170.0,6599.03853,-3252.90014,1816.45025,13.944,-26.240,1201.233248
1175.0,6590.86508,-3249.68372,1851.54359,14.219,-26.246,1201.281349
1180.0,6582.54431,-3246.38747,1886.59462,14.494,-26.252,1201.330310
1185.0,6574.07646,-3243.01136,1921.60255,14.769,-26.257,1201.380126
1190.0,6565.46180,-3239.55536,1956.56658,15.043,-26.263,1201.430793
1195.0,6556.70057,-3236.01945,1991.48592,15.318,-26.268,1201.482306
1200.0,6547.79303,-3232.40358,2026.35976,15.593,-26.274,1201.534660
