"Time (UTCG)","Satellite10413 - Satellite11501 - x (km)","Satellite10413 - Satellite11501 - y (km)","Satellite10413 - Satellite11501 - z (km)","Lat (deg)","Lon (deg)","Alt (km)"
21 Mar 2024 13:30:00.000,749.343988,-285.616934,-7535.586702,-83.959,-20.865,1221.146150
21 Mar 2024 13:30:05.000,784.931177,-280.766517,-7532.145352,-83.720,-19.682,1221.126916
21 Mar 2024 13:30:10.000,820.504071,-275.935688,-7528.531926,-83.477,-18.588,1221.106729
21 Mar 2024 13:30:15.000,856.061848,-271.124547,-7524.746506,-83.233,-17.574,1221.085592
21 Mar 2024 13:30:20.000,891.603685,-266.333191,-7520.789180,-82.986,-16.632,1221.063506
21 Mar 2024 13:30:25.000,927.128761,-261.561718,-7516.660037,-82.738,-15.755,1221.040473
21 Mar 2024 13:30:30.000,962.636255,-256.810223,-7512.359173,-82.487,-14.937,1221.016496
21 Mar 2024 13:30:35.000,998.125345,-252.078801,-7507.886684,-82.236,-14.174,1220.991576
21 Mar 2024 13:30:40.000,1033.595211,-247.367546,-7503.242674,-81.983,-13.459,1220.965716
21 Mar 2024 13:30:45.000,1069.045032,-242.676551,-7498.427249,-81.729,-12.790,1220.938917
21 Mar 2024 13:30:50.000,1104.473988,-238.005906,-7493.440517,-81.473,-12.161,1220.911184
21 Mar 2024 13:30:55.000,1139.881261,-233.355703,-7488.282595,-81.217,-11.570,1220.882517
21 Mar 2024 13:31:00.000,1175.266030,-228.726031,-7482.953598,-80.960,-11.013,1220.852921
21 Mar 2024 13:31:05.000,1210.627477,-224.116979,-7477.453650,-80.702,-10.488,1220.822396
21 Mar 2024 13:31:10.000,1245.964784,-219.528633,-7471.782875,-80.443,-9.992,1220.790947
21 Mar 2024 13:31:15.000,1281.277133,-214.961081,-7465.941403,-80.183,-9.524,1220.758575
21 Mar 2024 13:31:20.000,1316.563706,-210.414407,-7459.929368,-79.923,-9.080,1220.725284
21 Mar 2024 13:31:25.000,1351.823688,-205.888696,-7453.746907,-79.662,-8.660,1220.691077
21 Mar 2024 13:31:30.000,1387.056262,-201.384030,-7447.394161,-79.400,-8.261,1220.655957
21 Mar 2024 13:31:35.000,1422.260612,-196.900492,-7440.871275,-79.138,-7.882,1220.619927
21 Mar 2024 13:31:40.000,1457.435924,-192.438163,-7434.178399,-78.876,-7.522,1220.582991
21 Mar 2024 13:31:45.000,1492.581382,-187.997122,-7427.315685,-78.613,-7.179,1220.545151
21 Mar 2024 13:31:50.000,1527.696173,-183.577449,-7420.283291,-78.349,-6.852,1220.506411
21 Mar 2024 13:31:55.000,1562.779485,-179.179220,-7413.081376,-78.085,-6.541,1220.466775
21 Mar 2024 13:32:00.000,1597.830503,-174.802513,-7405.710105,-77.821,-6.243,1220.426246
21 Mar 2024 13:32:05.000,1632.848418,-170.447403,-7398.169646,-77.556,-5.959,1220.384828
21 Mar 2024 13:32:10.000,1667.832417,-166.113965,-7390.460173,-77.292,-5.688,1220.342525
21 Mar 2024 13:32:15.000,1702.781689,-161.802272,-7382.581861,-77.026,-5.428,1220.299339
21 Mar 2024 13:32:20.000,1737.695427,-157.512396,-7374.534890,-76.761,-5.179,1220.255277
21 Mar 2024 13:32:25.000,1772.572819,-153.244408,-7366.319443,-76.495,-4.941,1220.210340
21 Mar 2024 13:32:30.000,1807.413059,-148.998379,-7357.935710,-76.229,-4.713,1220.164534
21 Mar 2024 13:32:35.000,1842.215339,-144.774378,-7349.383880,-75.963,-4.493,1220.117863
21 Mar 2024 13:32:40.000,1876.978853,-140.572472,-7340.664150,-75.696,-4.283,1220.070330
21 Mar 2024 13:32:45.000,1911.702794,-136.392729,-7331.776718,-75.429,-4.081,1220.021940
21 Mar 2024 13:32:50.000,1946.386357,-132.235214,-7322.721788,-75.162,-3.887,1219.972698
21 Mar 2024 13:32:55.000,1981.028740,-128.099991,-7313.499567,-74.895,-3.700,1219.922608
21 Mar 2024 13:33:00.000,2015.629139,-123.987125,-7304.110265,-74.628,-3.520,1219.871674
21 Mar 2024 13:33:05.000,2050.186751,-119.896678,-7294.554096,-74.360,-3.347,1219.819901
21 Mar 2024 13:33:10.000,2084.700775,-115.828711,-7284.831280,-74.092,-3.180,1219.767293
21 Mar 2024 13:33:15.000,2119.170411,-111.783285,-7274.942038,-73.825,-3.019,1219.713856
21 Mar 2024 13:33:20.000,2153.594860,-107.760458,-7264.886596,-73.557,-2.865,1219.659595
21 Mar 2024 13:33:25.000,2187.973323,-103.760290,-7254.665184,-73.288,-2.715,1219.604514
21 Mar 2024 13:33:30.000,2222.305003,-99.782836,-7244.278035,-73.020,-2.571,1219.548617
21 Mar 2024 13:33:35.000,2256.589103,-95.828153,-7233.725387,-72.752,-2.432,1219.491911
21 Mar 2024 13:33:40.000,2290.824829,-91.896296,-7223.007481,-72.483,-2.297,1219.434401
21 Mar 2024 13:33:45.000,2325.011385,-87.987318,-7212.124561,-72.214,-2.167,1219.376091
21 Mar 2024 13:33:50.000,2359.147980,-84.101271,-7201.076876,-71.945,-2.042,1219.316986
21 Mar 2024 13:33:55.000,2393.233820,-80.238209,-7189.864679,-71.676,-1.920,1219.257093
21 Mar 2024 13:34:00.000,2427.268114,-76.398180,-7178.488226,-71.407,-1.803,1219.196417
21 Mar 2024 13:34:05.000,2461.250074,-72.581234,-7166.947776,-71.138,-1.689,1219.134963
21 Mar 2024 13:34:10.000,2495.178910,-68.787419,-7155.243594,-70.869,-1.579,1219.072736
21 Mar 2024 13:34:15.000,2529.053834,-65.016783,-7143.375946,-70.599,-1.473,1219.009743
21 Mar 2024 13:34:20.000,2562.874061,-61.269372,-7131.345105,-70.330,-1.369,1218.945989
21 Mar 2024 13:34:25.000,2596.638805,-57.545229,-7119.151344,-70.060,-1.270,1218.881479
21 Mar 2024 13:34:30.000,2630.347283,-53.844400,-7106.794942,-69.791,-1.173,1218.816220
21 Mar 2024 13:34:35.000,2663.998711,-50.166927,-7094.276181,-69.521,-1.079,1218.750218
21 Mar 2024 13:34:40.000,2697.592309,-46.512852,-7081.595348,-69.251,-0.988,1218.683478
21 Mar 2024 13:34:45.000,2731.127296,-42.882214,-7068.752733,-68.981,-0.900,1218.616007
21 Mar 2024 13:34:50.000,2764.602894,-39.275054,-7055.748628,-68.711,-0.814,1218.547810
21 Mar 2024 13:34:55.000,2798.018325,-35.691409,-7042.583331,-68.441,-0.731,1218.478894
21 Mar 2024 13:35:00.000,2831.372813,-32.131318,-7029.257142,-68.171,-0.650,1218.409266
21 Mar 2024 13:35:05.000,2864.665583,-28.594815,-7015.770366,-67.901,-0.572,1218.338930
21 Mar 2024 13:35:10.000,2897.895862,-25.081936,-7002.123311,-67.630,-0.496,1218.267895
21 Mar 2024 13:35:15.000,2931.062877,-21.592716,-6988.316289,-67.360,-0.422,1218.196165
21 Mar 2024 13:35:20.000,2964.165860,-18.127186,-6974.349615,-67.090,-0.350,1218.123749
21 Mar 2024 13:35:25.000,2997.204039,-14.685378,-6960.223609,-66.819,-0.281,1218.050651
21 Mar 2024 13:35:30.000,3030.176647,-11.267324,-6945.938592,-66.549,-0.213,1217.976880
21 Mar 2024 13:35:35.000,3063.082919,-7.873052,-6931.494892,-66.278,-0.147,1217.902441
