time,x,y,z,lat,lon,alt
0.0,6548.04954,2279.75827,3058.41623,23.922,19.196,1203.494733
5.0,6534.35940,2274.44910,3091.47036,24.197,19.192,1203.570630
10.0,6520.51695,2269.09831,3124.45387,24.471,19.188,1203.647176
15.0,6506.52249,2263.70614,3157.36599,24.746,19.183,1203.724364
20.0,6492.37630,2258.27283,3190.20599,25.020,19.179,1203.802186
25.0,6478.07867,2252.79860,3222.97310,25.294,19.175,1203.880636
30.0,6463.62990,2247.28370,3255.66658,25.569,19.172,1203.959707
35.0,6449.03029,2241.72835,3288.28568,25.843,19.168,1204.039391
40.0,6434.28013,2236.13280,3320.82966,26.118,19.164,1204.119680
45.0,6419.37974,2230.49728,3353.29778,26.392,19.160,1204.200568
50.0,6404.32942,2224.82203,3385.68929,26.666,19.157,1204.282046
55.0,6389.12949,2219.10728,3418.00345,26.941,19.153,1204.364108
60.0,6373.78027,2213.35329,3450.23952,27.215,19.150,1204.446746
65.0,6358.28206,2207.56027,3482.39677,27.489,19.147,1204.529953
70.0,6342.63520,2201.72849,3514.47446,27.763,19.143,1204.613719
75.0,6326.84002,2195.85816,3546.47187,28.038,19.140,1204.698039
80.0,6310.89684,2189.94955,3578.38825,28.312,19.137,1204.782904
85.0,6294.80599,2184.00289,3610.22289,28.586,19.134,1204.868306
90.0,6278.56783,2178.01842,3641.97504,28.861,19.132,1204.954237
95.0,6262.18268,2171.99638,3673.64399,29.135,19.129,1205.040691
100.0,6245.65090,2165.93702,3705.22902,29.409,19.126,1205.127657
105.0,6228.97282,2159.84059,3736.72940,29.683,19.124,1205.215130
110.0,6212.14881,2153.70733,3768.14441,29.957,19.121,1205.303100
115.0,6195.17922,2147.53748,3799.47333,30.231,19.119,1205.391559
120.0,6178.06440,2141.33130,3830.71546,30.506,19.116,1205.480500
125.0,6160.80472,2135.08902,3861.87007,30.780,19.114,1205.569914
130.0,6143.40055,2128.81090,3892.93645,31.054,19.112,1205.659793
135.0,6125.85225,2122.49718,3923.91390,31.328,19.110,1205.750129
140.0,6108.16020,2116.14811,3954.80170,31.602,19.108,1205.840913
145.0,6090.32477,2109.76394,3985.59916,31.876,19.107,1205.932137
150.0,6072.34635,2103.34493,4016.30556,32.150,19.105,1206.023793
155.0,6054.22531,2096.89131,4046.92020,32.424,19.104,1206.115872
160.0,6035.96204,2090.40334,4077.44240,32.698,19.102,1206.208366
165.0,6017.55693,2083.88128,4107.87144,32.972,19.101,1206.301266
170.0,5999.01038,2077.32537,4138.20663,33.246,19.100,1206.394564
175.0,5980.32278,2070.73586,4168.44729,33.520,19.099,1206.488251
180.0,5961.49453,2064.11302,4198.59271,33.794,19.098,1206.582319
185.0,5942.52604,2057.45708,4228.64222,34.068,19.097,1206.676759
190.0,5923.41771,2050.76831,4258.59512,34.342,19.097,1206.771562
195.0,5904.16995,2044.04695,4288.45073,34.616,19.096,1206.866720
200.0,5884.78318,2037.29327,4318.20837,34.890,19.096,1206.962223
205.0,5865.25780,2030.50751,4347.86735,35.163,19.095,1207.058064
210.0,5845.59425,2023.68994,4377.42701,35.437,19.095,1207.154233
215.0,5825.79295,2016.84080,4406.88666,35.711,19.095,1207.250721
220.0,5805.85432,2009.96036,4436.24564,35.985,19.096,1207.347521
225.0,5785.77879,2003.04886,4465.50327,36.259,19.096,1207.444622
230.0,5765.56680,1996.10657,4494.65888,36.533,19.096,1207.542015
235.0,5745.21878,1989.13375,4523.71180,36.806,19.097,1207.639693
240.0,5724.73517,1982.13064,4552.66139,37.080,19.098,1207.737646
245.0,5704.11642,1975.09752,4581.50696,37.354,19.099,1207.835865
250.0,5683.36298,1968.03463,4610.24787,37.627,19.100,1207.934340
255.0,5662.47528,1960.94224,4638.88345,37.901,19.101,1208.033064
260.0,5641.45379,1953.82060,4667.41305,38.175,19.103,1208.132027
265.0,5620.29896,1946.66998,4695.83603,38.448,19.104,1208.231219
270.0,5599.01125,1939.49062,4724.15172,38.722,19.106,1208.330632
275.0,5577.59113,1932.28281,4752.35950,38.996,19.108,1208.430257
280.0,5556.03905,1925.04678,4780.45870,39.269,19.110,1208.530084
285.0,5534.35549,1917.78281,4808.44869,39.543,19.112,1208.630105
290.0,5512.54093,1910.49116,4836.32882,39.816,19.115,1208.730310
295.0,5490.59583,1903.17207,4864.09847,40.090,19.118,1208.830690
300.0,5468.52067,1895.82583,4891.75700,40.363,19.120,1208.931236
305.0,5446.31594,1888.45268,4919.30377,40.637,19.123,1209.031939
310.0,5423.98212,1881.05290,4946.73816,40.910,19.127,1209.132788
315.0,5401.51970,1873.62673,4974.05953,41.184,19.130,1209.233777
320.0,5378.92916,1866.17446,5001.26727,41.457,19.134,1209.334894
325.0,5356.21102,1858.69632,5028.36076,41.731,19.138,1209.436130
330.0,5333.36575,1851.19260,5055.33937,42.004,19.142,1209.537477
335.0,5310.39387,1843.66355,5082.20248,42.277,19.146,1209.638926
340.0,5287.29587,1836.10944,5108.94950,42.551,19.150,1209.740466
345.0,5264.07226,1828.53053,5135.57979,42.824,19.155,1209.842089
350.0,5240.72355,1820.92708,5162.09276,43.097,19.160,1209.943785
355.0,5217.25025,1813.29936,5188.48780,43.371,19.165,1210.045545
360.0,5193.65288,1805.64763,5214.76431,43.644,19.171,1210.147360
365.0,5169.93196,1797.97215,5240.92168,43.917,19.176,1210.249220
370.0,5146.08801,1790.27320,5266.95932,44.190,19.182,1210.351116
375.0,5122.12155,1782.55102,5292.87663,44.464,19.188,1210.453039
380.0,5098.03311,1774.80590,5318.67303,44.737,19.195,1210.554979
385.0,5073.82323,1767.03809,5344.34792,45.010,19.201,1210.656928
390.0,5049.49243,1759.24786,5369.90071,45.283,19.208,1210.758875
395.0,5025.04124,1751.43547,5395.33082,45.556,19.216,1210.860812
400.0,5000.47022,1743.60119,5420.63768,45.829,19.223,1210.962729
405.0,4975.77990,1735.74528,5445.82070,46.102,19.231,1211.064616
410.0,4950.97083,1727.86801,5470.87930,46.376,19.239,1211.166466
415.0,4926.04355,1719.96965,5495.81292,46.649,19.247,1211.268267
420.0,4900.99863,1712.05045,5520.62099,46.922,19.256,1211.370012
425.0,4875.83660,1704.11069,5545.30293,47.195,19.265,1211.471690
430.0,4850.55802,1696.15064,5569.85819,47.468,19.274,1211.573292
435.0,4825.16346,1688.17054,5594.28621,47.740,19.283,1211.674810
440.0,4799.65348,1680.17068,5618.58641,48.013,19.293,1211.776234
445.0,4774.02865,1672.15132,5642.75826,48.286,19.303,1211.877554
450.0,4748.28952,1664.11272,5666.80120,48.559,19.314,1211.978761
455.0,4722.43668,1656.05515,5690.71468,48.832,19.325,1212.079847
460.0,4696.47069,1647.97887,5714.49815,49.105,19.336,1212.180801
465.0,4670.39213,1639.88416,5738.15107,49.378,19.347,1212.281615
470.0,4644.20159,1631.77127,5761.67289,49.650,19.359,1212.382279
475.0,4617.89963,1623.64048,5785.06309,49.923,19.372,1212.482785
480.0,4591.48686,1615.49204,5808.32113,50.196,19.384,1212.583123
485.0,4564.96384,1607.32623,5831.44647,50.469,19.397,1212.683284
490.0,4538.33118,1599.14330,5854.43859,50.741,19.411,1212.783259
495.0,4511.58947,1590.94353,5877.29696,51.014,19.424,1212.883038
500.0,4484.73929,1582.72718,5900.02106,51.287,19.439,1212.982613
505.0,4457.78126,1574.49452,5922.61038,51.559,19.453,1213.081975
510.0,4430.71596,1566.24581,5945.06438,51.832,19.468,1213.181114
515.0,4403.54401,1557.98132,5967.38257,52.104,19.484,1213.280021
520.0,4376.26600,1549.70131,5989.56444,52.377,19.500,1213.378688
525.0,4348.88255,1541.40605,6011.60946,52.649,19.516,1213.477106
530.0,4321.39427,1533.09580,6033.51715,52.922,19.533,1213.575265
535.0,4293.80177,1524.77083,6055.28700,53.194,19.550,1213.673156
540.0,4266.10567,1516.43140,6076.91851,53.467,19.568,1213.770771
545.0,4238.30658,1508.07778,6098.41120,53.739,19.587,1213.868101
550.0,4210.40513,1499.71023,6119.76456,54.012,19.605,1213.965137
555.0,4182.40194,1491.32902,6140.97811,54.284,19.625,1214.061870
560.0,4154.29763,1482.93441,6162.05137,54.556,19.645,1214.158291
565.0,4126.09284,1474.52667,6182.98385,54.829,19.665,1214.254391
570.0,4097.78820,1466.10605,6203.77509,55.101,19.686,1214.350162
575.0,4069.38434,1457.67283,6224.42459,55.373,19.708,1214.445595
580.0,4040.88189,1449.22727,6244.93189,55.645,19.730,1214.540682
585.0,4012.28150,1440.76962,6265.29652,55.917,19.753,1214.635413
590.0,3983.58380,1432.30016,6285.51802,56.190,19.776,1214.729780
595.0,3954.78944,1423.81915,6305.59592,56.462,19.800,1214.823775
600.0,3925.89906,1415.32685,6325.52977,56.734,19.825,1214.917389
605.0,3896.91332,1406.82352,6345.31911,57.006,19.850,1215.010613
610.0,3867.83285,1398.30942,6364.96349,57.278,19.876,1215.103438
615.0,3838.65833,1389.78482,6384.46245,57.550,19.903,1215.195858
620.0,3809.39039,1381.24999,6403.81556,57.822,19.930,1215.287862
625.0,3780.02970,1372.70517,6423.02237,58.094,19.958,1215.379443
630.0,3750.57692,1364.15063,6442.08244,58.366,19.987,1215.470593
635.0,3721.03271,1355.58665,6460.99534,58.638,20.017,1215.561303
640.0,3691.39773,1347.01346,6479.76064,58.909,20.047,1215.651564
