time,x,y,z,lat,lon,alt
0.0,2924.55694,1154.31072,-6895.12102,-65.609,21.539,1217.715657
5.0,2953.75779,1169.33239,-6880.12624,-65.338,21.598,1217.638940
10.0,2982.90251,1184.30622,-6864.97427,-65.067,21.655,1217.561586
15.0,3011.99038,1199.23190,-6849.66548,-64.797,21.710,1217.483602
20.0,3041.02072,1214.10914,-6834.20020,-64.526,21.764,1217.404995
25.0,3069.99283,1228.93764,-6818.57879,-64.254,21.817,1217.325773
30.0,3098.90602,1243.71710,-6802.80160,-63.983,21.868,1217.245943
35.0,3127.75959,1258.44724,-6786.86900,-63.712,21.917,1217.165511
40.0,3156.55285,1273.12776,-6770.78136,-63.441,21.966,1217.084486
45.0,3185.28512,1287.75838,-6754.53903,-63.170,22.013,1217.002874
50.0,3213.95570,1302.33880,-6738.14239,-62.899,22.058,1216.920684
55.0,3242.56390,1316.86874,-6721.59181,-62.627,22.103,1216.837921
60.0,3271.10904,1331.34792,-6704.88767,-62.356,22.146,1216.754595
65.0,3299.59044,1345.77605,-6688.03036,-62.085,22.189,1216.670712
70.0,3328.00741,1360.15286,-6671.02026,-61.813,22.230,1216.586280
75.0,3356.35926,1374.47806,-6653.85775,-61.542,22.270,1216.501307
80.0,3384.64531,1388.75138,-6636.54324,-61.270,22.309,1216.415801
85.0,3412.86489,1402.97253,-6619.07710,-60.999,22.347,1216.329769
90.0,3441.01732,1417.14125,-6601.45975,-60.727,22.384,1216.243219
95.0,3469.10191,1431.25727,-6583.69159,-60.455,22.420,1216.156158
100.0,3497.11799,1445.32030,-6565.77302,-60.184,22.455,1216.068596
105.0,3525.06489,1459.33009,-6547.70445,-59.912,22.489,1215.980540
110.0,3552.94192,1473.28637,-6529.48630,-59.640,22.522,1215.891997
115.0,3580.74843,1487.18887,-6511.11898,-59.369,22.555,1215.802976
120.0,3608.48374,1501.03732,-6492.60290,-59.097,22.586,1215.713485
125.0,3636.14718,1514.83147,-6473.93850,-58.825,22.617,1215.623532
130.0,3663.73807,1528.57105,-6455.12620,-58.553,22.647,1215.533125
135.0,3691.25576,1542.25580,-6436.16643,-58.281,22.676,1215.442273
140.0,3718.69959,1555.88547,-6417.05962,-58.009,22.704,1215.350983
145.0,3746.06887,1569.45980,-6397.80621,-57.737,22.732,1215.259264
150.0,3773.36296,1582.97854,-6378.40664,-57.465,22.759,1215.167125
155.0,3800.58120,1596.44144,-6358.86135,-57.193,22.785,1215.074574
160.0,3827.72291,1609.84824,-6339.17079,-56.921,22.810,1214.981618
165.0,3854.78746,1623.19870,-6319.33541,-56.649,22.835,1214.888267
170.0,3881.77418,1636.49257,-6299.35566,-56.377,22.859,1214.794529
175.0,3908.68241,1649.72961,-6279.23200,-56.105,22.883,1214.700413
180.0,3935.51150,1662.90957,-6258.96488,-55.833,22.906,1214.605927
185.0,3962.26081,1676.03221,-6238.55478,-55.560,22.928,1214.511080
190.0,3988.92968,1689.09729,-6218.00215,-55.288,22.950,1214.415880
195.0,4015.51747,1702.10458,-6197.30747,-55.016,22.971,1214.320336
200.0,4042.02352,1715.05384,-6176.47121,-54.744,22.992,1214.224457
205.0,4068.44720,1727.94483,-6155.49384,-54.471,23.012,1214.128251
210.0,4094.78787,1740.77731,-6134.37585,-54.199,23.031,1214.031728
215.0,4121.04487,1753.55108,-6113.11771,-53.927,23.050,1213.934896
220.0,4147.21758,1766.26588,-6091.71992,-53.654,23.069,1213.837763
