time,x,y,z,lat,lon,alt
0.0,6594.99681,3405.72496,-1528.14102,-11.698,27.312,1200.872890
5.0,6601.78930,3408.28458,-1492.69377,-11.423,27.306,1200.832870
10.0,6608.43368,3410.76189,-1457.21243,-11.148,27.299,1200.793752
15.0,6614.92975,3413.15693,-1421.69779,-10.873,27.293,1200.755539
20.0,6621.27729,3415.46977,-1386.15068,-10.598,27.286,1200.718234
25.0,6627.47611,3417.70045,-1350.57190,-10.323,27.280,1200.681842
30.0,6633.52600,3419.84904,-1314.96226,-10.048,27.273,1200.646365
35.0,6639.42676,3421.91560,-1279.32258,-9.773,27.266,1200.611806
40.0,6645.17821,3423.90019,-1243.65368,-9.498,27.260,1200.578170
45.0,6650.78014,3425.80287,-1207.95636,-9.223,27.253,1200.545458
50.0,6656.23238,3427.62371,-1172.23145,-8.948,27.246,1200.513675
55.0,6661.53474,3429.36277,-1136.47976,-8.673,27.239,1200.482823
60.0,6666.68704,3431.02013,-1100.70210,-8.398,27.233,1200.452904
65.0,6671.68911,3432.59586,-1064.89930,-8.123,27.226,1200.423922
70.0,6676.54076,3434.09003,-1029.07217,-7.848,27.219,1200.395879
75.0,6681.24183,3435.50272,-993.22153,-7.573,27.212,1200.368779
80.0,6685.79216,3436.83400,-957.34820,-7.298,27.205,1200.342622
85.0,6690.19158,3438.08397,-921.45299,-7.023,27.199,1200.317412
90.0,6694.43994,3439.25268,-885.53674,-6.748,27.192,1200.293152
95.0,6698.53706,3440.34024,-849.60026,-6.473,27.185,1200.269843
100.0,6702.48282,3441.34673,-813.64436,-6.198,27.178,1200.247487
105.0,6706.27705,3442.27223,-777.66988,-5.923,27.171,1200.226087
110.0,6709.91961,3443.11684,-741.67764,-5.648,27.164,1200.205644
115.0,6713.41036,3443.88064,-705.66844,-5.373,27.157,1200.186161
120.0,6716.74915,3444.56373,-669.64313,-5.098,27.150,1200.167640
125.0,6719.93587,3445.16620,-633.60252,-4.823,27.143,1200.150081
130.0,6722.97037,3445.68816,-597.54743,-4.548,27.136,1200.133486
135.0,6725.85252,3446.12970,-561.47870,-4.273,27.129,1200.117858
140.0,6728.58221,3446.49092,-525.39713,-3.998,27.122,1200.103198
145.0,6731.15932,3446.77192,-489.30356,-3.723,27.115,1200.089506
150.0,6733.58371,3446.97282,-453.19882,-3.448,27.108,1200.076785
155.0,6735.85529,3447.09372,-417.08372,-3.173,27.101,1200.065035
160.0,6737.97394,3447.13472,-380.95909,-2.898,27.094,1200.054257
165.0,6739.93955,3447.09594,-344.82576,-2.623,27.087,1200.044453
170.0,6741.75203,3446.97748,-308.68455,-2.348,27.080,1200.035623
175.0,6743.41127,3446.77948,-272.53629,-2.073,27.073,1200.027768
180.0,6744.91718,3446.50203,-236.38180,-1.798,27.066,1200.020890
185.0,6746.26967,3446.14526,-200.22191,-1.523,27.059,1200.014987
190.0,6747.46864,3445.70929,-164.05745,-1.248,27.052,1200.010062
195.0,6748.51401,3445.19424,-127.88924,-0.972,27.045,1200.006115
200.0,6749.40571,3444.60024,-91.71811,-0.697,27.038,1200.003145
205.0,6750.14364,3443.92740,-55.54488,-0.422,27.031,1200.001153
210.0,6750.72775,3443.17587,-19.37039,-0.147,27.024,1200.000140
215.0,6751.15795,3442.34576,16.80455,0.128,27.017,1200.000106
220.0,6751.43418,3441.43721,52.97911,0.403,27.009,1200.001049
225.0,6751.55639,3440.45035,89.15245,0.678,27.002,1200.002971
230.0,6751.52449,3439.38532,125.32376,0.953,26.995,1200.005872
235.0,6751.33845,3438.24225,161.49220,1.228,26.988,1200.009750
240.0,6750.99821,3437.02128,197.65696,1.503,26.981,1200.014606
245.0,6750.50372,3435.72255,233.81720,1.778,26.974,1200.020439
250.0,6749.85493,3434.34621,269.97209,2.053,26.967,1200.027248
255.0,6749.05180,3432.89239,306.12082,2.328,26.960,1200.035034
260.0,6748.09430,3431.36125,342.26256,2.603,26.953,1200.043794
265.0,6746.98239,3429.75293,378.39648,2.878,26.946,1200.053529
270.0,6745.71603,3428.06758,414.52175,3.153,26.939,1200.064238
275.0,6744.29521,3426.30535,450.63755,3.428,26.932,1200.075919
280.0,6742.71989,3424.46639,486.74306,3.703,26.925,1200.088572
285.0,6740.99006,3422.55086,522.83745,3.978,26.918,1200.102195
290.0,6739.10570,3420.55892,558.91989,4.254,26.911,1200.116787
295.0,6737.06680,3418.49072,594.98957,4.529,26.904,1200.132346
