"Time (UTCG)","Satellite11506 - x (km)","Satellite11506 - y (km)","Satellite11506 - z (km)","Lat (deg)","Lon (deg)","Alt (km)"
21 Mar 2024 10:50:00.000,6727.453412,-992.486084,-1425.815464,-11.913,-8.392,570.904396
21 Mar 2024 10:50:05.000,6721.719122,-980.824411,-1460.507888,-12.207,-8.302,570.948933
21 Mar 2024 10:50:10.000,6715.794918,-969.129495,-1495.156986,-12.501,-8.211,570.994483
21 Mar 2024 10:50:15.000,6709.680999,-957.401540,-1529.761731,-12.795,-8.121,571.041039
21 Mar 2024 10:50:20.000,6703.377570,-945.640754,-1564.321097,-13.089,-8.030,571.088596
21 Mar 2024 10:50:25.000,6696.884840,-933.847346,-1598.834058,-13.383,-7.938,571.137149
21 Mar 2024 10:50:30.000,6690.203026,-922.021525,-1633.299591,-13.677,-7.847,571.186692
21 Mar 2024 10:50:35.000,6683.332348,-910.163500,-1667.716672,-13.970,-7.755,571.237218
21 Mar 2024 10:50:40.000,6676.273033,-898.273485,-1702.084282,-14.264,-7.663,571.288721
21 Mar 2024 10:50:45.000,6669.025313,-886.351691,-1736.401400,-14.558,-7.571,571.341196
21 Mar 2024 10:50:50.000,6661.589425,-874.398332,-1770.667009,-14.851,-7.478,571.394636
21 Mar 2024 10:50:55.000,6653.965612,-862.413623,-1804.880093,-15.145,-7.385,571.449035
21 Mar 2024 10:51:00.000,6646.154122,-850.397780,-1839.039635,-15.438,-7.292,571.504386
21 Mar 2024 10:51:05.000,6638.155207,-838.351020,-1873.144624,-15.732,-7.198,571.560683
21 Mar 2024 10:51:10.000,6629.969128,-826.273562,-1907.194046,-16.025,-7.104,571.617918
21 Mar 2024 10:51:15.000,6621.596149,-814.165624,-1941.186893,-16.318,-7.010,571.676086
21 Mar 2024 10:51:20.000,6613.036538,-802.027428,-1975.122156,-16.611,-6.915,571.735178
21 Mar 2024 10:51:25.000,6604.290570,-789.859194,-2008.998827,-16.905,-6.820,571.795188
21 Mar 2024 10:51:30.000,6595.358527,-777.661145,-2042.815903,-17.198,-6.725,571.856109
21 Mar 2024 10:51:35.000,6586.240693,-765.433505,-2076.572380,-17.491,-6.629,571.917934
21 Mar 2024 10:51:40.000,6576.937360,-753.176498,-2110.267257,-17.783,-6.533,571.980654
21 Mar 2024 10:51:45.000,6567.448823,-740.890351,-2143.899533,-18.076,-6.436,572.044263
21 Mar 2024 10:51:50.000,6557.775385,-728.575291,-2177.468212,-18.369,-6.340,572.108753
21 Mar 2024 10:51:55.000,6547.917351,-716.231544,-2210.972298,-18.662,-6.242,572.174116
21 Mar 2024 10:52:00.000,6537.875035,-703.859341,-2244.410797,-18.954,-6.145,572.240344
21 Mar 2024 10:52:05.000,6527.648753,-691.458912,-2277.782716,-19.247,-6.047,572.307430
21 Mar 2024 10:52:10.000,6517.238828,-679.030487,-2311.087066,-19.539,-5.948,572.375365
